Komunikat|ID|Kraj|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żory (ID=230027),Ulica: Władysława (ID=789943),Numer budynku: 3G,Liczba znalezionych kodów: 0|A1412065|PL|44-240|ŻORY|Os. Księcia Władysła|3G|10|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żory,Ulica: Władysława,Wszystkie kody mają przypisaną ulicę|A1412881|PL|44-240|ŻORY|oś.Księcia Władysława|5||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Baligród (ID=216730),Ulica: Kościa (ID=863544),Numer budynku: 9,Liczba znalezionych kodów: 0|A1414546|PL|38-606|BALIGRÓD|Ul. Ks. Tomasza Kosc|9||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Bartnicza,Wszystkie kody mają przypisaną ulicę|A1415130|PL|43-300|BIELSKO-BIAŁA|Bartnicza|13||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Królewska,Wszystkie kody mają przypisaną ulicę|A1416088|PL|30-134|KRAKÓW|ul. Młynówka Królewska|2||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Jastrzębie,Ulica: Zielony Gaj,Wszystkie kody mają przypisaną ulicę|A1416164|PL|44-335|JASTRZĘBIE|Ul. Zielona|39|34|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Leżajsk (ID=216633),Ulica: Witosa (ID=750095),Numer budynku: 1,Liczba znalezionych kodów: 0|A1416522|PL|37-300|LEŻAJSK|ul. Wincentego Wito|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bolesławiec (ID=157506),Ulica: Konopnickiej (ID=612848),Numer budynku: 34,Liczba znalezionych kodów: 0|A1417723|PL|59-700|BOLESŁAWIEC|Ul. Marii Konopnicki|34||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Nowa Dęba (ID=215906),Ulica: Kościuszki (ID=675645),Numer budynku: 108,Liczba znalezionych kodów: 0|A1417757|PL|39-460|NOWA DĘBA|Ul.Tadeusza Kościusz|108|31|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1418656|PL|00-950|WARSZAWA|ul.Czackiego|3|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1419867|PL|31-144|KRAKÓW|Biskupia|22|5|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Ogrodniki,Wszystkie kody mają przypisaną ulicę|A1420015|PL|30-421|KRAKÓW|Ogrodniki|7|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rybnik,Ulica: ROW,Wszystkie kody mają przypisaną ulicę|A1421859|PL|44-253|RYBNIK|Patryjotów|40A|9|ŚLĄSKIE|RYBNIK|RYBNIK
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Reda (ID=225781),Ulica: Derdowskiego (ID=720688),Numer budynku: 7,Liczba znalezionych kodów: 0|A1423680|PL|84-240|REDA|ul.Dedrowskiego|7|19|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1424738|PL|00-043|WARSZAWA|Czackiego|3|5|MAZOWIECKIE||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Bogdanowicza,Wszystkie kody mają przypisaną ulicę|A1429124|PL|30-405|KRAKÓW|Bogdanowicza|3|2|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1429280|PL|00-043|WARSZAWA|Czackiego|3|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1430041|PL|30-667|KRAKÓW|Facimiech|12a|37|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Baló,Wszystkie kody mają przypisaną ulicę|A1430913|PL|02-793|WARSZAWA|PŁK. ZOLTANA BALO|4|8|MAZOWIECKIE|WARSZAWA|URSYNÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1432683|PL|31-144|KRAKÓW|Biskupia|2|7|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1436030|PL|00-043|WARSZAWA|Czackiego|3/5|115|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Krosno (ID=215473),Ulica: Kisielewskiego (ID=680955),Numer budynku: 8,Liczba znalezionych kodów: 0|A1436371|PL|38-400|KROSNO|Stefana Kisielewskie|8|4|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Roztoki,Wszystkie kody mają przypisaną ulicę|A1436694|PL|43-316|BIELSKO-BIAŁA|Roztoki|3|42|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraśnik,Ulica: Zielińskiego,Wszystkie kody mają przypisaną ulicę|A1436798|PL|23-210|KRAŚNIK|Zielińskiego|11|3|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Szaniawskiego,Wszystkie kody mają przypisaną ulicę|A1436866|PL|30-405|KRAKÓW|Szaniawskiego|14||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Rayskiego,Wszystkie kody mają przypisaną ulicę|A1438779|PL|31-866|KRAKÓW|Skrażyńskiego|4|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Głowienka (ID=211453),Ulica: Nadbrzeżna (ID=741460),Numer budynku: 160,Liczba znalezionych kodów: 0|A1439165|PL|38-455|GŁOWIENKA|Nadrzeczna|160||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Andrychów (ID=194556),Ulica: Klonowa (ID=669070),Numer budynku: 3,Liczba znalezionych kodów: 0|A1439234|PL|34-120|ANDRYCHÓW|Kolorowa|3||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Jędrzejów (ID=235846),Ulica: Przypkowskiego (ID=746364),Numer budynku: 44,Liczba znalezionych kodów: 0|A1439251|PL|28-300|JĘDRZEJÓW|Feliksa Przypkowskie|44||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Leżajsk (ID=216633),Ulica: Jadwigi-Królowej (ID=824787),Numer budynku: 5,Liczba znalezionych kodów: 0|A1439733|PL|37-300|LEŻAJSK|Świętej Jadwigi Królowej|5||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Odrzykoń (ID=213452),Ulica: Cebuli (ID=749818),Numer budynku: 6,Liczba znalezionych kodów: 0|A1439800|PL|38-406|ODRZYKOŃ|prof.Stanisława Cebu|6||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Bogdanowicza,Wszystkie kody mają przypisaną ulicę|A1441612|PL|30-405|KRAKÓW|Bogdanowicza|8||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Oświęcim (ID=194794),Ulica: Orłowskiego (ID=661217),Numer budynku: 3,Liczba znalezionych kodów: 0|A1442831|PL|32-600|OŚWIĘCIM|Aleksandra Orłowskie|3|6|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kolbuszowa (ID=216379),Ulica: Przerwy-Tetmajera (ID=741415),Numer budynku: 4a,Liczba znalezionych kodów: 0|A1443187|PL|36-100|KOLBUSZOWA|Kazimierza Przerwy-Tetmajera/1|4a||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Przy Torze,Wszystkie kody mają przypisaną ulicę|A1445180|PL||KRAKÓW|Przy Torze|15||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1445716|PL|00-043|WARSZAWA|Czackiego|3|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Górzyca (ID=172275),Ulica: Makowa (ID=828065),Numer budynku: 8b,Liczba znalezionych kodów: 0|A1451548|PL|44-350|GORZYCA|Zamkowa|8b|1|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1454989|PL|31-144|KRAKÓW|Biskupia|3|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Gdańsk (ID=225469),Ulica: Krzyżanowskiej (ID=893553),Numer budynku: 17,Liczba znalezionych kodów: 0|A1456721|PL|80-271|GDAŃSK|Krzyżanowskiego|17|6|POMORSKIE|GDAŃSK|GDAŃSK
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Wodzisław Śląski,Ulica: Gałczyńskiego,Wszystkie kody mają przypisaną ulicę|A1457626|PL|44-300|WODZISŁAW ŚL.|Gałczyńskiego|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żory,Ulica: Dębowa,Wszystkie kody mają przypisaną ulicę|A1462338|PL|44-240|ŻORY|Dębowa|25||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sanok (ID=214991),Ulica: Stara (ID=674807),Numer budynku: 2,Liczba znalezionych kodów: 0|A1463881|PL|38-500|SANOK|ks. Zygmunta Gorazdo|2|25|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Klucze (ID=182536),Ulica: Górna (ID=653719),Numer budynku: 19,Liczba znalezionych kodów: 0|A1463917|PL|32-310|KLUCZE|Główna|19||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chrzanów (ID=195254),Ulica: Krucza (ID=622200),Numer budynku: 9,Liczba znalezionych kodów: 0|A1464131|PL|32-500|CHRZANÓW|Urocza|9||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Nowa Wieś,Ulica: Nowowiejska,Miejscowość nie ma kodów pocztowych|A1464742|PL|42-690|NOWA WIEŚ|ul. Wiejska|123||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Ciągowice,Ulica: 1 Maja,Miejscowość nie ma kodów pocztowych|A1466533|PL|42-450|CIĄGOWICE|1 Maja|25|2|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Oświęcim (ID=194794),Ulica: Orłowskiego (ID=661217),Numer budynku: 60,Liczba znalezionych kodów: 0|A1467002|PL|32-600|OŚWIĘCIM|Aleksandra Orłowskie|60|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Oświęcim (ID=194794),Ulica: Łukowa (ID=654503),Numer budynku: 9,Liczba znalezionych kodów: 0|A1467290|PL|32-600|OŚWIĘCIM BROSZKOWICE|Klubowa|9||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Szaniawskiego,Wszystkie kody mają przypisaną ulicę|A1467747|PL|30-405|KRAKÓW|Szaniawskiego|17||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1468336|PL|31-144|KRAKÓW|Biskupia|22|5|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1468522|PL|30-667|KRAKÓW|ul.Facimiech|3|2|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kostrzyn (ID=203690),Ulica: Górna (ID=885397),Numer budynku: 21,Liczba znalezionych kodów: 0|A1468602|PL|66-470|KOSTRZYN|Główna|21|1|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Na Grządkach,Wszystkie kody mają przypisaną ulicę|A1468818|PL|30-421|KRAKÓW|Na grządkach|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Filomatów,Wszystkie kody mają przypisaną ulicę|A1469512|PL|43-300|BIELSKO-BIAŁA|Filomatów|11||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Szczecin,Ulica: Brylantowa,Wszystkie kody mają przypisaną ulicę|A1469624|PL|71-235|SZCZECIN|Brylantowa|3|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Kaczmarskiego,Wszystkie kody mają przypisaną ulicę|A14706|PL|02-679|WARSZAWA|Jacka Kaczmarskiego|27||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chełm (ID=169873),Ulica: Skalskiego (ID=821282),Numer budynku: 16,Liczba znalezionych kodów: 0|A1475087|PL|22-100|CHEŁM|ul.I Armii Wojska Polskiego 16|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Gliwice,Ulica: Piłsudskiego,Wszystkie kody mają przypisaną ulicę|A1475113|PL|44-106|GLIWICE|ul.Piłsudskiego 9|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Traugutta,Wszystkie kody mają przypisaną ulicę|A1475602|PL|00-950|WARSZAWA|ul.Traugutta 7/9|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Traugutta,Wszystkie kody mają przypisaną ulicę|A1475603|PL|00-950|WARSZAWA|ul.Traugutta 7/9|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Traugutta,Wszystkie kody mają przypisaną ulicę|A1475606|PL|00-950|WARSZAWA|ul.Traugutta 7/9|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Traugutta,Wszystkie kody mają przypisaną ulicę|A1475607|PL|00-950|WARSZAWA|ul.Traugutta 7/9|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Poczesna (ID=226867),Ulica: Łąkowa (ID=743160),Numer budynku: 1,Liczba znalezionych kodów: 0|A1476082|PL|42-262|POCZESNA|UL.BANKOWA 1|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bolków (ID=157606),Ulica: Rynek (ID=619639),Numer budynku: 1,Liczba znalezionych kodów: 0|A1476353|PL|58-575|BOLKÓW|RYNEK RATUSZ 1|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Biała (ID=174874),Ulica: Sadowa (ID=630271),Numer budynku: 2,Liczba znalezionych kodów: 0|A1476745|PL|98-350|BIAŁA|UL.RZĄDOWA 2|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kowalewo Pomorskie (ID=163159),Ulica: 1 Stycznia (ID=911862),Numer budynku: 14,Liczba znalezionych kodów: 0|A1476873|PL|87-410|KOWALEWO POMORSKIE|UL.23 STYCZNIA 14|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Ciechanów,Ulica: Szczurzynek,Wszystkie kody mają przypisaną ulicę|A1477166|PL|06-400|CIECHANÓW|ul.Rynek 8|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Lwówek Śląski (ID=157297),Ulica: Łąkowa (ID=634647),Numer budynku: 12,Liczba znalezionych kodów: 0|A1477313|PL|59-700|BOLESŁAWIEC ŚLĄSKI|ul.Bankowa 12|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1477388|PL|00-950|WARSZAWA|ul.Czackiego 21/23|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chełm (ID=169873),Ulica: Skalskiego (ID=821282),Numer budynku: 41,Liczba znalezionych kodów: 0|A1477401|PL|22-100|CHEŁM|ul.I Armii Wojska Polskiego 41|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Poraj,Ulica: Górnicza,Miejscowość nie ma kodów pocztowych|A1478011|PL|42-297|PORAJ|ul.Górnicza|14||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Dąbrowskiego,Wszystkie kody mają przypisaną ulicę|A1478018|PL|00-950|WARSZAWA|pl.J.H. Dąbrowskiego 3|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1480775|PL|31-144|KRAKÓW|Biskupia|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Dynasy,Wszystkie kody mają przypisaną ulicę|A1481102|PL|00-354|WARSZAWA|Dynasy|4|14|MAZOWIECKIE|WARSZAWA|ŚRÓDMIEŚCIE
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Piaseczno,Ulica: Polskiego Państwa Podziemnego,Wszystkie kody mają przypisaną ulicę|A1481318|PL|05-820|PIASECZNO|Piasta|13||MAZOWIECKIE|PRUSZKOWSKI|PIASTÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1525684|PL|00-950|WARSZAWA|Czackiego|15|17|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1603663|PL|94-047|ŁÓDŹ|ul.Wyszyńskiego|33|11|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Polonijna,Wszystkie kody mają przypisaną ulicę|A1607876|PL|30-668|KRAKÓW|Polonijna|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1609118|PL|94-047|ŁÓDŹ|Wyszyńskiego|58|25|ŁÓDZKIE|ŁÓDŹ|ŁÓDŹ
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Radom,Ulica: Malczewskiego,Wszystkie kody mają przypisaną ulicę|A1609879|PL|26-600|RADOM|Malczeskiego|25||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsk (ID=196414),Ulica: Makowa (ID=816101),Numer budynku: 47,Liczba znalezionych kodów: 0|A1612346|PL|17-100|Bielsk|Zamkowa|47||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Ciągowice,Ulica: Kopalniana,Miejscowość nie ma kodów pocztowych|A1612471|PL|42-450|CIĄGOWICE|Kopalniana|9||ŚLĄSKIE|ZAWIERCIAŃSKI|ŁAZY
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Dąbrowa (ID=248830),Ulica: Morelowa (ID=778642),Numer budynku: 1,Liczba znalezionych kodów: 0|A1612561|PL|42-530|Dąbrowa|Hotelowa|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Włoszczowa (ID=236771),Ulica: Kraszewskiego (ID=816365),Numer budynku: 49,Liczba znalezionych kodów: 0|A1613875|PL|29-100|Włoszczowa|Ignacego Kraszewskie|49||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sufczyn (ID=189697),Numer budynku: 430,Liczba znalezionych kodów: 0|A1614488|PL|32-852|Dębno|Sufczyn|430||MAŁOPOLSKIE|BRZESKI|DĘBNO
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Poczesna (ID=226867),Ulica: Łąkowa (ID=743160),Numer budynku: 24,Liczba znalezionych kodów: 0|A1614594|PL|42-262|Poczesna|Laurowa|24||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Starachowice (ID=233998),Ulica: Rogowskiego (ID=768883),Numer budynku: 12,Liczba znalezionych kodów: 0|A1615779|PL|27-200|Starachowice|Mrozowskiego|12||ŚWIĘTOKRZYSKIE|STARACHOWICKI|STARACHOWICE
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Nowy Sącz (ID=194793),Ulica: 1 Brygady (ID=809585),Numer budynku: 16,Liczba znalezionych kodów: 0|A1616500|PL|33-300|Nowy Sącz|I-Brygady|16|26|MAŁOPOLSKIE|NOWY SĄCZ|NOWY SĄCZ
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Baligród (ID=216730),Ulica: Kościa (ID=863544),Numer budynku: 8,Liczba znalezionych kodów: 0|A1616501|PL|38-606|Baligród|księdza Tomasza Kośc|8||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Leżajsk (ID=216633),Ulica: Jadwigi-Królowej (ID=824787),Numer budynku: 21,Liczba znalezionych kodów: 0|A1616676|PL|37-300|Leżajsk|Św. Jadwigii Królowej|21||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Brzesko (ID=187732),Ulica: Makowa (ID=665736),Numer budynku: 78,Liczba znalezionych kodów: 0|A1619049|PL|32-800|BRZESKO|Zamkowa|78||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Dębnicki,Wszystkie kody mają przypisaną ulicę|A1620627|PL|30-319|KRAKÓW|Rynek Dędnicki|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chrzanów (ID=195254),Ulica: Kadłubek (ID=618397),Numer budynku: 30B,Liczba znalezionych kodów: 0|A1621822|PL|32-500|CHRZANÓW|Kadłubka|30B|7|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Na Grządkach,Wszystkie kody mają przypisaną ulicę|A1621921|PL|30-421|KRAKÓW|Na Grządkach|16||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1623928|PL|31-144|KRAKÓW|Biskupia|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Filomatów,Wszystkie kody mają przypisaną ulicę|A1625850|PL|43-300|BIELSKO-BIAŁA|Filomatów|5|1|ŚLĄSKIE|BIELSKO-BIAŁA|BIELSKO-BIAŁA
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Szaniawskiego,Wszystkie kody mają przypisaną ulicę|A1629452|PL|30-405|KRAKÓW|Szaniawskiego|29||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chrzanów (ID=195254),Ulica: Kadłubek (ID=618397),Numer budynku: 43,Liczba znalezionych kodów: 0|A1629634|PL|32-500|CHRZANÓW|Kadłubka|43||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Zielonki (ID=193155),Ulica: Bankowa (ID=630775),Numer budynku: 6,Liczba znalezionych kodów: 0|A1630922|PL||ZIELONKI|ul.Bukowa|6||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1631686|PL|00-043|WARSZAWA|Czackiego|3|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1633284|PL|30-667|Kraków|Facimiech|12A|43|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraśnik,Ulica: Zielińskiego,Wszystkie kody mają przypisaną ulicę|A1635221|PL|23-210|Kraśnik|Księdza Zielińskiego|10|16|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sufczyn (ID=189697),Numer budynku: 430,Liczba znalezionych kodów: 0|A1636562|PL|32-852|Sufczyn||430||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Jędrzejów (ID=235846),Ulica: Artymiaka (ID=828973),Numer budynku: 8,Liczba znalezionych kodów: 0|A1636896|PL|28-300|Jędrzejów|Dr Antoniego Artymia|8|2|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1637565|PL|94-047|Łódź|Kard. Wyszyńskiego|52|4|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Dąbrowa Górnicza,Ulica: Toruńska,Wszystkie kody mają przypisaną ulicę|A1639874|PL|41-303|DĄBROWA GÓRNICZA|Toruńska|7||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chrzanów (ID=195254),Ulica: Wyszyńskiego (ID=855070),Numer budynku: 7,Liczba znalezionych kodów: 0|A1642115|PL|32-500|Chrzanów|Kardynała Wyszyńskeigo|7|68|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Ciągowice,Ulica: Zacisze,Miejscowość nie ma kodów pocztowych|A1642530|PL|42-450|Ciągowice|Zacisze|19||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1643044|PL|94-047|Łódź|Wyszyńskiego|68|70|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Dąbrowa Górnicza,Ulica: Budowniczych Huty Katowice,Wszystkie kody mają przypisaną ulicę|A1643139|PL|41-303|Dąbrowa Górnicza|Buczka|3C|6|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żory,Ulica: Władysława,Wszystkie kody mają przypisaną ulicę|A1643806|PL|44-240|ŻORY|os.Księcia Władysława|10D|6|ŚLĄSKIE|ŻORY|ŻORY
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Otwock,Ulica: Mysia,Wszystkie kody mają przypisaną ulicę|A1645523|PL|05-400|OTWOCK|Mysia|5|7|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kielce,Ulica: Zamkowy,Wszystkie kody mają przypisaną ulicę|A1645714|PL|25-010|KIELCE|Plac Zamkowy|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chorzów,Ulica: Muzyków,Wszystkie kody mają przypisaną ulicę|A1646787|PL|41-500|CHORZÓW|Aleja Muzyków 1|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kielce,Ulica: Zakładowa,Wszystkie kody mają przypisaną ulicę|A1649524|PL|25-670|KIELCE|Zakładowa|4||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów,Ulica: Kostki,Wszystkie kody mają przypisaną ulicę|A1650055|PL|33-100|TARNÓW|ul.Św.St.Kostki 3a|||||
