ID|Kraj|Kod|Miasto|Ulica|NrDomu|NrLokalu|Wojewodztwo|Powiat|Gmina
A1320257|PL|71-541|Szczecin|ul. św. Cyryla  i Metodego[Cyryla i Metodego]|7|8|ZACHODNIOPOMORSKIE|Szczecin|Szczecin
A1321456|PL|80-364[80-644]|Gdańsk|ul. prez. RP Lecha  Kaczyńskiego[ul. Prezydenta Lecha Kaczyńskiego]|30E|10|POMORSKIE|Gdańsk|Gdańsk
A1322804|PL|33-300[]|Nowy Sącz|ul. św. Kunegundy[Kunegundy]|34||MAŁOPOLSKIE[]|Nowy Sącz[]|Nowy Sącz[]
A1323723|PL|31-060|Kraków|ul. św. Wawrzyńca[Wawrzyńca]|11|12|MAŁOPOLSKIE|Kraków|Kraków
A1323799|PL|02-594|Warszawa|ul. Giordana  Bruna[J.Bruna]|34|84|MAZOWIECKIE|Warszawa|Warszawa[MOKOTÓW]
A1324045|PL|38-211[38-200]|Jabłonica||88||PODKARPACKIE[]|jasielski[]|Skołyszyn[]
A1324308|PL|33-100[33-101]|Tarnów|ul. ks. Stanisława  Indyka[St.Indyka]|6|80|MAŁOPOLSKIE[]|Tarnów[]|Tarnów[]
A1325516|PL|33-300|Nowy Sącz|ul. św. Kunegundy[Kunegundy]|38B|26|MAŁOPOLSKIE|Nowy Sącz|Nowy Sącz
A1325919|PL|38-200|Jasło|ul. ks. Stanisława  Staszica[S.Staszica]|30D||PODKARPACKIE[]|jasielski[]|Jasło[]
A1325987|PL|32-050|Skawina|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks.Popiełuszki]|6||MAŁOPOLSKIE[]|krakowski[]|Skawina[]
A1326125|PL|90-457|Łódź|ul. św. Stanisława  Kostki[Św.St.Kostki]|2||ŁÓDZKIE[]|Łódź[]|Łódź[]
A1326249|PL|44-109|Gliwice|ul. bł. ks. Jerzego Aleksandra Popiełuszki[KS.J.POPIEŁUSZKI]|2|6|ŚLĄSKIE|Gliwice|Gliwice
A1328658|PL|02-109|Warszawa|ul. księcia   Trojdena[Ks.Trojdena]|4||MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1329032|PL|30-528|Kraków|ul. św. Kingi[Kingi]|8-10|26|MAŁOPOLSKIE|Kraków|Kraków
A1329095|PL|32-566[32-556]|Podłęże||10||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1329524|PL|32-566[32-556]|Regulice||214||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1332469|PL|32-566[32-556]|Regulice||451||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1334170|PL|31-234[31-222]|Kraków|ul. Kazimierza  Herwina Piątka[Herwina-Piątka]|22||MAŁOPOLSKIE|Kraków|Kraków
A1334204|PL|26-615[26-600]|Radom|ul. ks. kap. hm. Ignacego Jana Skorupki[Ks. Skorupki]|5|8|MAZOWIECKIE[]|Radom[]|Radom[]
A1334279|PL|02-945|Warszawa|ul. św. Bonifacego[Bonifacego]|79|42|MAZOWIECKIE|Warszawa|Warszawa[MOKOTÓW]
A1334674|PL|30-864|Kraków|ul. ks. prał. Mariana  Łaczka[ks.M.Łaczka]|67||MAŁOPOLSKIE|Kraków|Kraków
A1334861|PL|30-053|Kraków|ul. kronikarza Galla  Anonima[Galla]|5|1|MAŁOPOLSKIE|Kraków|Kraków
A1334879|PL|13-200|Działdowo|ul. króla Władysława II Jagiełły[Wł. Jagiełły]|40||WARMIŃSKO-MAZURSKIE[]|działdowski[]|Działdowo[]
A1335183|PL|05-082|Janów|ul. gen. Stanisława  Maczka[GEN.ST.MACZKA]|2a||MAZOWIECKIE|warszawski zachodni[WARSZAWA]|Stare Babice[BIELANY]
A1337516|PL|32-410|Dobczyce|ul. królowej Kingi[Kingi]|6||MAŁOPOLSKIE[]|myślenicki[]|Dobczyce[]
A1338140|PL|32-020[32-041]|Bodzanów||221||MAŁOPOLSKIE[]|wielicki[]|Biskupice[]
A1341193|PL|31-543|Kraków|ul. płk Francesca  Nulla[Fr.Nullo]|15|40|MAŁOPOLSKIE|Kraków|Kraków
A1342001|PL|31-234|Kraków|ul. Kazimierza  Herwina Piątka[ul. Herwina-Piątka]|16||MAŁOPOLSKIE|Kraków|Kraków
A1343531|PL|05-091|Ząbki|ul. bł. ks. Jerzego Aleksandra Popiełuszki[ks.J.Popiełuszki]|15||MAZOWIECKIE[]|wołomiński[]|Ząbki[]
A1343645|PL|59-100|Polkowice|ul. kard. Bolesława  Kominka[k.B.Kominka]|7||DOLNOŚLĄSKIE[]|polkowicki[]|Polkowice[]
A1343979|PL|26-610[26-600]|Radom|ul. ks. prof. Włodzimierza  Sedlaka[Ks.Sedlaka]|4|6|MAZOWIECKIE[]|Radom[]|Radom[]
A1344554|PL|30-053|Kraków|ul. kronikarza Galla  Anonima[Kronikarza Galla]|3|4|MAŁOPOLSKIE|Kraków|Kraków
A1344555|PL|32-089[32-085]|Wielka Wieś||62||MAŁOPOLSKIE|krakowski|Wielka Wieś
A1344575|PL|00-087|Warszawa|ul. Antonia  Corazziego[Antoniego Corazziego]|4||MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1345239|PL|30-010|Kraków|ul. Antoniego  Augustynka Wichury[ul. Augustynka-Wichury]|14|40|MAŁOPOLSKIE|Kraków|Kraków
A1346766|PL|30-110[33-380]|Kraków|ul. Józefa Ignacego Kraszewskiego[I.Kraszewskiego]|171A/A1||MAŁOPOLSKIE|Kraków|Kraków
A1346983|PL|03-778|Warszawa|ul. księcia Ziemowita[Ks. Ziemowita]|19||MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1347033|PL|02-593|Warszawa|ul. Józefa i Jana Rostafińskich[J.J.Rostafińskich]|4||MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1347481|PL|44-100|Gliwice|ul. Stanisława  Konarskiego[ks. S. Konarskiego]|13|5|ŚLĄSKIE[]|Gliwice[]|Gliwice[]
A1347570|PL|91-222|Łódź|ul. św. Teresy     od Dzieciątka Jezus[ul. Teresy od Dzieciątka Jezus]|109||ŁÓDZKIE|Łódź|Łódź
A1347651|PL|91-222|Łódź|ul. św. Teresy     od Dzieciątka Jezus[ul. Teresy od Dzieciątka Jezus]|109||ŁÓDZKIE|Łódź|Łódź
A1348555|PL|30-864|Kraków|ul. ks. prał. Mariana  Łaczka[Ks. Łaczka]|72||MAŁOPOLSKIE|Kraków|Kraków
A1348607|PL|38-200|Jasło|ul. prof. Stanisława  Pigonia[St. Pigonia]|9||PODKARPACKIE[]|jasielski[]|Jasło[]
A1349276|PL|38-460|Jedlicze|ul. kpt. Stanisława  Betleja[Kpt. St. Betleja]|5B||PODKARPACKIE[]|krośnieński[]|Jedlicze[]
A1349314|PL|97-400|Bełchatów|ul. św. Barbary[ul. Barbary]|1|9|ŁÓDZKIE|bełchatowski|Bełchatów
A1349888|PL|37-630|Oleszyce|ul. Sapiehy[Ul. J. Sapiehy]|1|14|PODKARPACKIE[]|lubaczowski[]|Oleszyce[]
A1350650|PL|30-864|Kraków|ul. ks. prał. Mariana  Łaczka[Ks. M.Łaczka]|61||MAŁOPOLSKIE|Kraków|Kraków
A1350700|PL|37-450|Stalowa Wola[STALOWA-WOLA]|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks.J.Popiełuszki]|12A|16|PODKARPACKIE[]|stalowowolski[]|Stalowa Wola[]
A1351151|PL|32-040|Świątniki Górne|ul. Franciszka  Bielowicza[Fr.Bielowicza]|79||MAŁOPOLSKIE|krakowski[]|Świątniki Górne[]
A1351300|PL|38-400[38-411]|Krosno|ul. Stefana  Batorego[St. Batorego]|17|39|PODKARPACKIE[MAŁOPOLSKIE]|Krosno[]|Krosno[]
A1351386|PL|32-500|Chrzanów|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Kard. Wyszyńskiego]|9|25|MAŁOPOLSKIE|chrzanowski[]|Chrzanów[]
A1351617|PL|32-415[32-413]|Krzesławice||10||MAŁOPOLSKIE|myślenicki[]|Raciechowice[]
A1351908|PL|59-400|Jawor|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[kard. Stefana Wyszyńskiego]|24a||DOLNOŚLĄSKIE[]|jaworski[]|Jawor[]
A1352145|PL|32-020[32-021]|Janowice|[JANOWICE]|212||MAŁOPOLSKIE|wielicki[]|Wieliczka[]
A1352661|PL|28-400|Pińczów|ul. ks. Hugona  Kołłątaja[M. Kołłątaja]|5|7|ŚWIĘTOKRZYSKIE[]|pińczowski[]|Pińczów[]
A1352773|PL|44-244[44-240]|Żory|os. Sikorskiego[os. Wł. Sikorskiego]|7A|8|ŚLĄSKIE[]|Żory[]|Żory[]
A1353231|PL|26-615[26-600]|Radom|ul. ks. kap. hm. Ignacego Jana Skorupki[Ks. Skorupki]|4|28|MAZOWIECKIE[]|Radom[]|Radom[]
A1353337|PL|38-400|Krosno|ul. Stefana  Batorego[St.Batorego]|15|64|PODKARPACKIE[]|Krosno[]|Krosno[]
A1353560|PL|38-500|Sanok|ul. Oskara  Kolberga[O.Kolberga]|4||PODKARPACKIE[]|sanocki[]|Sanok[]
A1353614|PL|43-354[34-354]|Czaniec|ul. kard. Karola  Wojtyły[K.K.Wojtyły]|47||ŚLĄSKIE[]|bielski[]|Porąbka[]
A1353669|PL|31-711|Kraków|ul. Jasia Małgosi[Jasia i Małgosi]|16||MAŁOPOLSKIE|Kraków|Kraków
A1354003|PL|35-328|Rzeszów|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks. Popiełuszki]|8|83|PODKARPACKIE|Rzeszów[]|Rzeszów[]
A1354108|PL|39-400|Tarnobrzeg|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Kardynała Wyszyńskiego]|12|9|PODKARPACKIE[]|Tarnobrzeg[]|Tarnobrzeg[]
A1354421|PL|37-100|Łańcut|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Kard. Wyszyńskiego]|43|22|PODKARPACKIE|łańcucki|Łańcut
A1354607|PL|38-200|Jasło|ul. ks. Stanisława  Bełcha[ks.S.Bełcha]|6||PODKARPACKIE|jasielski|Jasło
A1357920|PL|32-415[32-413]|Zegartowice||147||MAŁOPOLSKIE[]|myślenicki[]|Raciechowice[]
A1359204|PL|91-222|Łódź|ul. św. Teresy     od Dzieciątka Jezus[ul. Teresy od Dzieciątka Jezus]|103a||ŁÓDZKIE|Łódź|Łódź
A1359372|PL|40-750|Katowice|ul. Tadeusza  Żeleńskiego  Boya[T.B.Żeleńskiego]|91|4|ŚLĄSKIE[]|Katowice[]|Katowice[]
A1359575|PL|30-053|Kraków|ul. kronikarza Galla  Anonima[Kronikarza Galla]|5|1|MAŁOPOLSKIE|Kraków|Kraków
A1359758|PL|30-010|Kraków|ul. Antoniego  Augustynka Wichury[ul. Augustynka-Wichury]|14|40|MAŁOPOLSKIE|Kraków|Kraków
A1359853|PL|33-300|Nowy Sącz|ul. św. Kunegundy[Kunegundy]|34|19|MAŁOPOLSKIE[]|Nowy Sącz[]|Nowy Sącz[]
A1359862|PL|43-100|Tychy|ul. Krzyżowskich   Rodzeństwa[ul.Rodzeństwa Krzyżowskich]|42|33|ŚLĄSKIE[]|Tychy[]|Tychy[]
A1360435|PL|41-300|Dąbrowa Górnicza|ul. Poniatowskiego[ul. Józefa Poniatowskiego]|11|57|ŚLĄSKIE|Dąbrowa Górnicza|Dąbrowa Górnicza
A1361283|PL|32-700|Bochnia|ul. księcia Józefa  Poniatowskiego[Ks.J.Poniatowskiego]|24||MAŁOPOLSKIE[]|bocheński[]|Bochnia[]
A1361401|PL|31-115|Kraków|pl. gen. Władysława  Sikorskiego[p.Gen.Sikorskiego]|13||MAŁOPOLSKIE|Kraków|Kraków
A1362126|PL|35-328[35-310]|Rzeszów|ul. bł. ks. Jerzego Aleksandra Popiełuszki[kś.Jerzego Popiełuszki]|6|87|PODKARPACKIE[]|Rzeszów[]|Rzeszów[]
A1362263|PL|37-710|Żurawica|ul. gen. Władysława  Sikorskiego[Gen. Wł.Sikorskiego]|3|4|PODKARPACKIE[]|przemyski[]|Żurawica[]
A1362624|PL|39-460|Nowa Dęba|ul. Jana  Szypowskiego[płk.Szypowskiego]|1||PODKARPACKIE|tarnobrzeski[]|Nowa Dęba[]
A1362962|PL|42-217[42-200]|Częstochowa|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks.J.Popiełuszki]|2||ŚLĄSKIE[]|Częstochowa[]|Częstochowa[]
A1363557|PL|36-007[36-073]|Krasne||3b||PODKARPACKIE|rzeszowski|Krasne
A1363640|PL|41-500|Chorzów|ul. księcia Władysława  Opolskiego[Ks.Wł.Opolskiego]|11|39|ŚLĄSKIE|Chorzów|Chorzów
A1363723|PL|80-374|Gdańsk|ul. prez. RP Lecha  Kaczyńskiego[Prezydenta Lecha Kaczyńskiego]|1||POMORSKIE[]|Gdańsk[]|Gdańsk[]
A1364837|PL|02-940|Warszawa|ul. św. Bonifacego[Bonifacego]|92|16|MAZOWIECKIE|Warszawa|Warszawa[MOKOTÓW]
A1366362|PL|43-100|Tychy|ul. Krzyżowskich   Rodzeństwa[ul.Rodzeństwa Krzyżowskich]|4|8|ŚLĄSKIE|Tychy|Tychy
A1366889|PL|83-330|Żukowo|ul. Jadwigi i Zofii Ptach[Z.J.Ptach]|22||POMORSKIE[]|kartuski[]|Żukowo[]
A1367327|PL|27-320[27-330]|Glina|[GLINA]|44||MAZOWIECKIE[]|lipski[]|Solec nad Wisłą[]
A1367427|PL|37-100|Łańcut|ul. królowej Elżbiety[Elżbiety]|2|13|PODKARPACKIE[]|łańcucki[]|Łańcut[]
A1367596|PL|27-320[27-330]|Glina|[GLINA]|44||MAZOWIECKIE[]|lipski[]|Solec nad Wisłą[]
A1367615|PL|64-920|Piła|ul. św. Maksymiliana Marii Kolbego[O.M.Kolbe]|24a|4|WIELKOPOLSKIE[]|pilski[]|Piła[]
A1367718|PL|21-500[21-536]|Woroniec|[WORONIEC]|7|16|LUBELSKIE[]|bialski[]|Biała Podlaska[]
A1367804|PL|97-200|Tomaszów Mazowiecki|ul. św. Maksymiliana Marii Kolbego[O.M.Kolbe]|2/4|58|ŁÓDZKIE[]|tomaszowski[]|Tomaszów Mazowiecki[]
A1368162|PL|41-407|Imielin|ul. św. br. Alberta[Brata Alberta]|97A||ŚLĄSKIE|bieruńsko-lędziński[]|Imielin[]
A1368451|PL|31-419|Kraków|ul. Cogito[Pana Cogito]|17||MAŁOPOLSKIE|Kraków|Kraków
A1368458|PL|30-864|Kraków|ul. ks. prał. Mariana  Łaczka[Ks. M. Łaczka]|61||MAŁOPOLSKIE|Kraków|Kraków
A1368605|PL|32-050|Skawina|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Księdza Popiełuszki]|4|71|MAŁOPOLSKIE[]|krakowski[]|Skawina[]
A1368625|PL|38-300|Gorlice|ul. ks. Stanisława  Tokarza[Ks. St. Tokarza]|12||MAŁOPOLSKIE[]|gorlicki[]|Gorlice[]
A1368629|PL|31-230|Kraków|ul. prof. Stanisława  Pigonia[St. Pigonia]|4|73|MAŁOPOLSKIE|Kraków|Kraków
A1368643|PL|34-371|Ujsoły|ul. ks. prał.   Piotrowskiego[Ks. Piotrowskiego]|5||ŚLĄSKIE[]|żywiecki[]|Ujsoły[]
A1369468|PL|33-300|Nowy Sącz|ul. św. Kunegundy[Kunegundy]|38|9|MAŁOPOLSKIE[]|Nowy Sącz[]|Nowy Sącz[]
A1369528|PL|38-400|Krosno|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Księdza Popiełuszki]|105|6|PODKARPACKIE[]|Krosno[]|Krosno[]
A1369679|PL|30-053|Kraków|ul. kronikarza Galla  Anonima[Kronikarza Galla]|19|6|MAŁOPOLSKIE|Kraków|Kraków
A1369707|PL|32-545|Karniowice|ul. króla Władysława I Łokietka[Wł. Łokietka]|61||MAŁOPOLSKIE[]|chrzanowski[]|Trzebinia[]
A1369728|PL|38-400|Krosno|ul. Stefana  Batorego[St. Batorego]|3|20|PODKARPACKIE[]|Krosno[]|Krosno[]
A1369777|PL|39-300[39-303]|Mielec|ul. Godlewskiego[E.Godlewskiego]|5|10|PODKARPACKIE[]|mielecki[]|Mielec[]
A1369989|PL|38-400|Krosno|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Kard. Wyszyńskiego]|109||PODKARPACKIE[]|Krosno[]|Krosno[]
A1370255|PL|23-204[23-210]|Kraśnik|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Kard.S.Wyszyńskiego]|38063||LUBELSKIE[]|kraśnicki[]|Kraśnik[]
A1370270|PL|32-566|Kwaczała|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Prymasa Wyszyńskiego]|12||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1370293|PL|32-566|Kwaczała|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Prymasa Wyszyńskiego]|10||MAŁOPOLSKIE|chrzanowski|Alwernia
A1370407|PL|32-050|Skawina|ul. bł. ks. Jerzego Aleksandra Popiełuszki[ks.J.Popiełuszki]|38083||MAŁOPOLSKIE[]|krakowski[]|Skawina[]
A1370923|PL|21-100|Lubartów|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks. J. Popiełuszki]|11|1|LUBELSKIE|lubartowski[]|Lubartów[]
A1371049|PL|35-328|Rzeszów|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks. J. Popiełuszki]|6|21|PODKARPACKIE|Rzeszów[]|Rzeszów[]
A1371230|PL|37-450|Stalowa Wola|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks. J. Popiełuszki]|12|31|PODKARPACKIE[]|stalowowolski[]|Stalowa Wola[]
A1371560|PL|31-230[31-228]|Kraków|ul. prof. Stanisława  Pigonia[S. Pigonia]|4|44|MAŁOPOLSKIE|Kraków|Kraków
A1371826|PL|25-658|Kielce|ul. św. Weroniki[Weroniki]|26|98|ŚWIĘTOKRZYSKIE[]|Kielce[]|Kielce[]
A1371969|PL|31-543|Kraków|ul. płk Francesca  Nulla[Gen. Nullo]|10|58|MAŁOPOLSKIE|Kraków|Kraków
A1372020|PL|25-369[25-396]|Kielce|ul. ks. kap. hm. Ignacego Jana Skorupki[Ks. Skorupki]|2|16|ŚWIĘTOKRZYSKIE[]|Kielce[]|Kielce[]
A1372132|PL|22-400[22-411]|Wysokie|[Wysokie]|107||LUBELSKIE[]|zamojski[]|Zamość[]
A1372737|PL|33-100|Tarnów|ul. ks. kap. hm. Ignacego Jana Skorupki[Ks. Skorupki]|13||MAŁOPOLSKIE[]|Tarnów[]|Tarnów[]
A1374346|PL|32-050|Skawina|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks. Popiełuszki]|6|1|MAŁOPOLSKIE[]|krakowski[]|Skawina[]
A1375663|PL|32-020[32-021]|Janowice|[JANOWICE]|118||MAŁOPOLSKIE[]|wielicki[]|Wieliczka[]
A1377040|PL|32-500|Chrzanów|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[K.Wyszyńskiego]|15|8|MAŁOPOLSKIE|chrzanowski|Chrzanów
A1377086|PL|83-340|Sierakowice|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[K.S.Wyszyńskiego]|6||POMORSKIE[]|kartuski[]|Sierakowice[]
A1378505|PL|02-936|Warszawa|ul. św. Bonifacego[Bonifacego]|75|76|MAZOWIECKIE|Warszawa|Warszawa[MOKOTÓW]
A1379743|PL|30-203[30-318]|Kraków|ul. św. Bronisławy[Bronisławy]|26||MAŁOPOLSKIE|Kraków|Kraków
A1381144|PL|60-687|Poznań|os. Stefana  Batorego[oś. S.Batorego]|15|20|WIELKOPOLSKIE[]|Poznań[]|Poznań[]
A1381310|PL|71-541|Szczecin|ul. św. Cyryla  i Metodego[Cyryla i Metodego]|9A||ZACHODNIOPOMORSKIE[]|Szczecin[]|Szczecin[]
A1381568|PL|19-100|Mońki|ul. ks. Hugona  Kołłątaja[Kołłątaja Hugo]|1||PODLASKIE[]|moniecki[]|Mońki[]
A1382161|PL|37-220|Kańczuga|ul. św. Barbary[Ś. Barbary]|18||PODKARPACKIE[]|przeworski[]|Kańczuga[]
A1384663|PL|01-595|Warszawa|ul. bł. ks. Jerzego Aleksandra Popiełuszki[ks.J.Popiełuszki]|21||MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1385067|PL|31-409|Kraków|ul. Jana  Woronicza[Jana Pawła WORONICZA]|36|17|MAŁOPOLSKIE|Kraków|Kraków
A1385115|PL|01-496|Warszawa|ul. Franciszka  Kawy[FR.Kawy]|14|19|MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1385649|PL|60-687|Poznań|os. Stefana  Batorego[os.S.Batorego]|290|43|WIELKOPOLSKIE|Poznań|Poznań
A1387835|PL|05-311[05-305]|Poręby||10||MAZOWIECKIE[]|miński[]|Dębe Wielkie[]
A1388132|PL|30-732|Kraków|ul. płk Stanisława  Dąbka[płk St.Dąbka]|8||MAŁOPOLSKIE|Kraków|Kraków
A1388439|PL|31-419|Kraków|ul. Cogito[ul.Pana Cogito]|11||MAŁOPOLSKIE|Kraków|Kraków
A1388745|PL|32-329|Krzykawka|ul. płk Francesca  Nulla[Fr.Nullo]|47||MAŁOPOLSKIE|olkuski|Bolesław
A1388748|PL|40-553|Katowice|ul. Władysława  Orkana[Wł.Orkana]|19c|35|ŚLĄSKIE|Katowice|Katowice
A1388799|PL|32-329|Krzykawka|ul. płk Francesca  Nulla[Fr.Nullo]|47||MAŁOPOLSKIE|olkuski|Bolesław
A1389621|PL|50-231[50-527]|Wrocław|ul. Dawida Altera Kurzmanna[Dawida]|28|5|DOLNOŚLĄSKIE|Wrocław|Wrocław
A1390387|PL|62-650|Kłodawa|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Kard. S.Wyszyńskiego]|40||WIELKOPOLSKIE[]|kolski[]|Kłodawa[]
A1390603|PL|32-500|Chrzanów|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Ul. Kardynała Wyszyńskiego]|11||MAŁOPOLSKIE[]|chrzanowski[]|Chrzanów[]
A1390673|PL|34-400|Nowy Targ|ul. św. Katarzyny[ul. Katarzyny]|2||MAŁOPOLSKIE|nowotarski|Nowy Targ
A1391496|PL|43-100|Tychy|ul. Krzyżowskich   Rodzeństwa[ul.Rodzeństwa Krzyżowskich]|42|36|ŚLĄSKIE[]|Tychy[]|Tychy[]
A1391509|PL|37-450|Stalowa Wola|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks.J.Popiełuszki]|6|77|PODKARPACKIE[]|stalowowolski[]|Stalowa Wola[]
A1391519|PL|39-400|Tarnobrzeg|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Kardynała Wyszyńskiego]|16|35|PODKARPACKIE[]|Tarnobrzeg[]|Tarnobrzeg[]
A1392066|PL|39-100|Ropczyce|ul. Seweryna  Udzieli[Ul. S.Udzieli]|2|48|PODKARPACKIE[]|ropczycko-sędziszowski[]|Ropczyce[]
A1392232|PL|25-369[25-108]|Kielce|ul. ks. kap. hm. Ignacego Jana Skorupki[Ks.Skorupki]|2|12|ŚWIĘTOKRZYSKIE[]|Kielce[]|Kielce[]
A1393423|PL|42-300|Myszków|ul. Sikorskiego[Gen. Sikorskiego]|8|11|ŚLĄSKIE[]|myszkowski[]|Myszków[]
A1393602|PL|27-320[27-330]|Glina|[GLINA]|31||MAZOWIECKIE[]|lipski[]|Solec nad Wisłą[]
A1393825|PL|30-053|Kraków|ul. kronikarza Galla  Anonima[ul. Galla]|25||MAŁOPOLSKIE|Kraków|Kraków
A1393927|PL|31-060|Kraków|ul. św. Wawrzyńca[Ul. Wawrzyńca]|11|13|MAŁOPOLSKIE|Kraków|Kraków
A1394503|PL|28-200|Staszów|ul. ks. Hugona  Kołłątaja[ul. Hugo Kołłątaja]|3|31|ŚWIĘTOKRZYSKIE[]|staszowski[]|Staszów[]
A1394614|PL|30-053|Kraków|ul. kronikarza Galla  Anonima[ul. Kronikarza Galla]|9|11|MAŁOPOLSKIE|Kraków|Kraków
A1394912|PL|31-234|Kraków|ul. Kazimierza  Herwina Piątka[Herwina-Piątka]|22||MAŁOPOLSKIE|Kraków|Kraków
A1395052|PL|32-552|Płaza|ul. hetm. Jana Karola Chodkiewicza[K. Chodkiewicza]|10||MAŁOPOLSKIE[]|chrzanowski[]|Chrzanów[]
A1395198|PL|32-800|Brzesko|os. króla Władysława II Jagiełły[Os.Wł.Jagiełły]|6|25|MAŁOPOLSKIE[]|brzeski[]|Brzesko[]
A1395235|PL|44-241[44-240]|Żory|os. księcia Władysława[Oś. Kś. Władysława]|9c|17|ŚLĄSKIE[]|Żory[]|Żory[]
A1395294|PL|32-500|Chrzanów|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Ul. Kard. Wyszyńskiego]|1|1|MAŁOPOLSKIE[]|chrzanowski[]|Chrzanów[]
A1395325|PL|33-300|Nowy Sącz|ul. św. Kunegundy[Ul. Kunegundy]|11|3|MAŁOPOLSKIE[]|Nowy Sącz[]|Nowy Sącz[]
A1395370|PL|47-400|Racibórz|ul. Juliusza  Kossaka[l. Kossaka]|65|6|ŚLĄSKIE[]|raciborski[]|Racibórz[]
A1395378|PL|32-500|Chrzanów|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Ul. Kardynała Wyszyńskiego]|1|2|MAŁOPOLSKIE[]|chrzanowski[]|Chrzanów[]
A1395713|PL|32-650|Kęty|ul. bł. ks. Jerzego Aleksandra Popiełuszki[ul. Ks. J. Popiełuszki]|1||MAŁOPOLSKIE[]|oświęcimski[]|Kęty[]
A1396130|PL|38-100|Strzyżów|ul. Przybosia[J. Przybosia]|18||PODKARPACKIE[]|strzyżowski[]|Strzyżów[]
A1397416|PL|32-410[32-411]|Sieraków||39||MAŁOPOLSKIE[]|myślenicki[]|Dobczyce[]
A1397570|PL|34-240|Jordanów|ul. św. Anny[ul. Anny]|9||MAŁOPOLSKIE|suski|Jordanów
A1397944|PL|02-936|Warszawa|ul. św. Bonifacego[ul.Bonifacego]|74|94|MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1398504|PL|31-709|Kraków|ul. króla Stanisława Augusta Poniatowskiego[St.A.Poniatowskiego]|2||MAŁOPOLSKIE|Kraków|Kraków
A1398982|PL|37-100|Łańcut|ul. bł. ks. kard. prym. Stefana  Wyszyńskiego[Kard.Wyszyńskiego]|43|16|PODKARPACKIE|łańcucki|Łańcut
A1400646|PL|32-600|Oświęcim|ul. Stanisława  Pilata[S.Pilata]|12|1|MAŁOPOLSKIE|oświęcimski|Oświęcim
A1400941|PL|31-046|Kraków|ul. św. Gertrudy[Gertrudy]|7|14|MAŁOPOLSKIE|Kraków|Kraków
A1402275|PL|30-053|Kraków|ul. kronikarza Galla  Anonima[ul.GALLA]|22||MAŁOPOLSKIE|Kraków|Kraków
A1402278|PL|32-086[32-087]|Węgrzce||400||MAŁOPOLSKIE[]|krakowski[]|Zielonki[]
A1402480|PL|58-400|Kamienna Góra|ul. Stefana  Okrzei[ul.S.Okrzei]|3||DOLNOŚLĄSKIE[]|kamiennogórski[]|Kamienna Góra[]
A1402919|PL|32-040|Rzeszotary|ul. Franciszka  Bielowicza[Fr.Bielowicza]|85||MAŁOPOLSKIE[]|krakowski[]|Świątniki Górne[]
A1402987|PL|32-420[32-490]|Nieznanowice||11b||MAŁOPOLSKIE|wielicki|Gdów
A1403590|PL|30-864[]|Kraków|ul. ks. prał. Mariana  Łaczka[Ks.Łączka]|4||MAŁOPOLSKIE|Kraków|Kraków
A1403874|PL|30-614[30-685]|Kraków|ul. bł. Franciszki  Siedliskiej[B.F.Siedliskiej]|3||MAŁOPOLSKIE|Kraków|Kraków
