Komunikat|ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Błędna nazwa ulicy 'szerotana'/'szerotana'/Szukana ulica: 'szerotana',Znormalizowana: 'szerotana',Ulica NIE istnieje w bazie TERYT|A1368584|26-604|RADOM|szerotana|32A|1|||
Błędna nazwa ulicy 'Szerwark'/'szerwark'/Szukana ulica: 'Szerwark',Znormalizowana: 'szerwark',Ulica NIE istnieje w bazie TERYT|A1205162|33-200|DABROWA TARNOWSKA|Szerwark|201||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szewczykówka'/'szewczykowka'/Szukana ulica: 'Szewczykówka',Znormalizowana: 'szewczykowka',Ulica NIE istnieje w bazie TERYT|A1915992|34-404|Klikuszowa|Szewczykówka|202||||
Błędna nazwa ulicy 'Szewna Zarzecze'/'szewna zarzecze'/Szukana ulica: 'Szewna Zarzecze',Znormalizowana: 'szewna zarzecze',Ulica NIE istnieje w bazie TERYT|A1353545|27-400|OSTROWIEC ŚW.|Szewna Zarzecze|23||||
Błędna nazwa ulicy 'Szewna, ul. Langiewi'/'szewna, ul. langiewi'/Szukana ulica: 'Szewna, ul. Langiewi',Znormalizowana: 'szewna, ul. langiewi',Ulica NIE istnieje w bazie TERYT|A1436710|27-400|SZEWNA|Szewna, ul. Langiewi|36||||
Błędna nazwa ulicy 'Szewna,ul. Armii Ludowej-'/'szewna,ul. armii ludowej-'/Szukana ulica: 'Szewna,ul. Armii Ludowej-',Znormalizowana: 'szewna,ul. armii ludowej-',Ulica NIE istnieje w bazie TERYT|A1465094|27-400|SZEWNA|Szewna,ul. Armii Ludowej-|13||||
Błędna nazwa ulicy 'Szewna,ul. Zarzecze-'/'szewna,ul. zarzecze-'/Szukana ulica: 'Szewna,ul. Zarzecze-',Znormalizowana: 'szewna,ul. zarzecze-',Ulica NIE istnieje w bazie TERYT|A1465078|27-400|SZEWNA|Szewna,ul. Zarzecze-|36||||
Błędna nazwa ulicy 'Szfeitzera'/'szfeitzera'/Szukana ulica: 'Szfeitzera',Znormalizowana: 'szfeitzera',Ulica NIE istnieje w bazie TERYT|A1353452|30-695|KRAKÓW|Szfeitzera|9|4|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szmuca'/'szmuca'/Szukana ulica: 'Szmuca',Znormalizowana: 'szmuca',Ulica NIE istnieje w bazie TERYT|A1306176|30-432|KRAKÓW|Szmuca|2B||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szoasa Ciechanowska'/'szoasa ciechanowska'/Szukana ulica: 'Szoasa Ciechanowska',Znormalizowana: 'szoasa ciechanowska',Ulica NIE istnieje w bazie TERYT|A1966050|06-300|PRZASNYCH|Szoasa Ciechanowska|6||||
Błędna nazwa ulicy 'SZOPA'/'szopa'/Szukana ulica: 'SZOPA',Znormalizowana: 'szopa',Ulica NIE istnieje w bazie TERYT|A1415137|33-336|ŁABOWA|SZOPA|8||||
Błędna nazwa ulicy 'Szpyrków'/'szpyrkow'/Szukana ulica: 'Szpyrków',Znormalizowana: 'szpyrkow',Ulica NIE istnieje w bazie TERYT|A1776610|81-561|GDYNIA|Szpyrków|17|1|||
Błędna nazwa ulicy 'Sztab Powstańczy'/'sztab powstanczy'/Szukana ulica: 'Sztab Powstańczy',Znormalizowana: 'sztab powstanczy',Ulica NIE istnieje w bazie TERYT|A1681812|44-100|GLIWICE|Sztab Powstańczy|14|14|||
Błędna nazwa ulicy 'szwai'/'szwai'/Szukana ulica: 'szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|A1731059|30-383|KRAKÓW|szwai|7a|195|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwai'/'szwai'/Szukana ulica: 'Szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|A1284382|30-383|KRAKÓW|Szwai|17|16|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwai'/'szwai'/Szukana ulica: 'Szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|ZA1295033|30-065|KRAKÓW|Szwai|7|86|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwai'/'szwai'/Szukana ulica: 'Szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|ZA1330782|33-183|KRAKÓW|Szwai|7a|144|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwai'/'szwai'/Szukana ulica: 'Szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|TU1330782|33-183|KRAKÓW|Szwai|7a|144|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwai'/'szwai'/Szukana ulica: 'Szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|TU1295033|30-065|KRAKÓW|Szwai|7|86|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwai'/'szwai'/Szukana ulica: 'Szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|A1450137|30-383|KRAKÓW|Szwai|7a|161|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwai'/'szwai'/Szukana ulica: 'Szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|K1632961|30-353|KRAKÓW|Szwai|7A|135|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwai'/'szwai'/Szukana ulica: 'Szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|T1402981|30-383|KRAKÓW|Szwai|5|39|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwai'/'szwai'/Szukana ulica: 'Szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|A1449117|30-383|KRAKÓW|Szwai|7|86|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwai'/'szwai'/Szukana ulica: 'Szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|A1419651|30-383|KRAKÓW|Szwai|7|97|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwai'/'szwai'/Szukana ulica: 'Szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|A1647735|30-383|KRAKÓW|Szwai|7A|222|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwai'/'szwai'/Szukana ulica: 'Szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|A1767234|30-383|KRAKÓW|Szwai|7a|242|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwai'/'szwai'/Szukana ulica: 'Szwai',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|A1781426|30-383|Kraków|Szwai|7|6|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'SZWAI'/'szwai'/Szukana ulica: 'SZWAI',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|A1678558|30-383|KRAKÓW|SZWAI|7A|188|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'SZWAI'/'szwai'/Szukana ulica: 'SZWAI',Znormalizowana: 'szwai',Ulica NIE istnieje w bazie TERYT|ZA1265660|30-383|KRAKÓW|SZWAI|7A|178|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Szwarszowice-'/'szwarszowice-'/Szukana ulica: 'Szwarszowice-',Znormalizowana: 'szwarszowice-',Ulica NIE istnieje w bazie TERYT|A1464954|27-400|SZWARSZOWICE|Szwarszowice-|73||||
Błędna nazwa ulicy 'Szydłów, ul. Opolska'/'szydlow, ul. opolska'/Szukana ulica: 'Szydłów, ul. Opolska',Znormalizowana: 'szydlow, ul. opolska',Ulica NIE istnieje w bazie TERYT|A1436489|49-130|SZYDŁÓW|Szydłów, ul. Opolska|30||||
Błędna nazwa ulicy 'Ś w .Filipa'/'w . filipa'/Szukana ulica: 'Ś w .Filipa',Znormalizowana: 'w . filipa',Ulica NIE istnieje w bazie TERYT|A1675553|31-150|KRAKÓW|Ś w .Filipa|23|3|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Ściborzyce Małe'/'sciborzyce male'/Szukana ulica: 'Ściborzyce Małe',Znormalizowana: 'sciborzyce male',Ulica NIE istnieje w bazie TERYT|A1728605|48-100|GŁUBCZYCE|Ściborzyce Małe|70||||
Błędna nazwa ulicy 'Ściegiennego 28'/'sciegiennego 28'/Szukana ulica: 'Ściegiennego 28',Znormalizowana: 'sciegiennego 28',Ulica NIE istnieje w bazie TERYT|A1645953|70-354|SZCZECIN|Ściegiennego 28|4-5||||
Błędna nazwa ulicy 'Ściniawska'/'sciniawska'/Szukana ulica: 'Ściniawska',Znormalizowana: 'sciniawska',Ulica NIE istnieje w bazie TERYT|A1769766|59-300|LUBLIN|Ściniawska|1||||
Błędna nazwa ulicy 'Śleszowice-'/'sleszowice-'/Szukana ulica: 'Śleszowice-',Znormalizowana: 'sleszowice-',Ulica NIE istnieje w bazie TERYT|A1464707|34-210|ZEMBRZYCE|Śleszowice-|155A||||
Błędna nazwa ulicy 'Śliwin ul.Słoneczna'/'sliwin ul. sloneczna'/Szukana ulica: 'Śliwin ul.Słoneczna',Znormalizowana: 'sliwin ul. sloneczna',Ulica NIE istnieje w bazie TERYT|A1434542|72-344|REWAL|Śliwin ul.Słoneczna|1||||
Błędna nazwa ulicy 'śmiardowo Krajańskie'/'smiardowo krajanskie'/Szukana ulica: 'śmiardowo Krajańskie',Znormalizowana: 'smiardowo krajanskie',Ulica NIE istnieje w bazie TERYT|A1702703|77-430|KRAJENKA|śmiardowo Krajańskie|1||||
Błędna nazwa ulicy 'Śnieszkowice'/'snieszkowice'/Szukana ulica: 'Śnieszkowice',Znormalizowana: 'snieszkowice',Ulica NIE istnieje w bazie TERYT|A1353381|27-425|WAŚNIÓW|Śnieszkowice|67||||
Błędna nazwa ulicy 'Św .St. Kostki'/'. st. kostki'/Szukana ulica: 'Św .St. Kostki',Znormalizowana: '. st. kostki',Ulica NIE istnieje w bazie TERYT|A1690981|34-424|Maruszyna|Św .St. Kostki|39||||
Błędna nazwa ulicy 'Św Teresy od Dziec.Jezus'/'teresy od dziec. jezus'/Szukana ulica: 'Św Teresy od Dziec.Jezus',Znormalizowana: 'teresy od dziec. jezus',Ulica NIE istnieje w bazie TERYT|A1347651|91-222|ŁÓDŹ|Św Teresy od Dziec.Jezus|109||||
Błędna nazwa ulicy 'Św,Krzyża'/'sw,krzyza'/Szukana ulica: 'Św,Krzyża',Znormalizowana: 'sw,krzyza',Ulica NIE istnieje w bazie TERYT|A1625569|31-023|KRAKÓW|Św,Krzyża|16/21B||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'św. Barbary 3, skr.poczt.'/'barbary 3, skr. poczt.'/Szukana ulica: 'św. Barbary 3, skr.poczt.',Znormalizowana: 'barbary 3, skr. poczt.',Ulica NIE istnieje w bazie TERYT|A1847395|97-400|ROGOWIEC|św. Barbary 3, skr.poczt.|100||||
Błędna nazwa ulicy 'Św. Floriana, Lusina'/'floriana, lusina'/Szukana ulica: 'Św. Floriana, Lusina',Znormalizowana: 'floriana, lusina',Ulica NIE istnieje w bazie TERYT|A1438141|30-698|KRAKÓW|Św. Floriana, Lusina|47||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'św. J. Królowej'/''/Szukana ulica: 'św. J. Królowej',Znormalizowana: '',Ulica NIE istnieje w bazie TERYT|A1735146|32-651|Nowa Wieś|św. J. Królowej|30||||
Błędna nazwa ulicy 'św.B.Apostoła'/'apostola'/Szukana ulica: 'św.B.Apostoła',Znormalizowana: 'apostola',Ulica NIE istnieje w bazie TERYT|A1932540|32-031|MOGILANY|św.B.Apostoła|15||||
Błędna nazwa ulicy 'Św.Katarzyna ul.Świętokrzyska'/'katarzyna ul. swietokrzyska'/Szukana ulica: 'Św.Katarzyna ul.Świętokrzyska',Znormalizowana: 'katarzyna ul. swietokrzyska',Ulica NIE istnieje w bazie TERYT|A1676996|26-010|BODZENTYN|Św.Katarzyna ul.Świętokrzyska|2||||
Błędna nazwa ulicy 'Św.Marka 31/Św.Krzyża'/'marka 31/sw. krzyza'/Szukana ulica: 'Św.Marka 31/Św.Krzyża',Znormalizowana: 'marka 31/sw. krzyza',Ulica NIE istnieje w bazie TERYT|A1215901|31-023|KRAKÓW|Św.Marka 31/Św.Krzyża 16|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Św.Teresy od Dziec.Jezus'/'teresy od dziec. jezus'/Szukana ulica: 'Św.Teresy od Dziec.Jezus',Znormalizowana: 'teresy od dziec. jezus',Ulica NIE istnieje w bazie TERYT|A1347570|91-222|ŁÓDŹ|Św.Teresy od Dziec.Jezus|109||||
Błędna nazwa ulicy 'Świątniki'/'swiatniki'/Szukana ulica: 'Świątniki',Znormalizowana: 'swiatniki',Ulica NIE istnieje w bazie TERYT|A1612159|32-420|Świątni|Świątniki|88||||
Błędna nazwa ulicy 'Świerchowa'/'swierchowa'/Szukana ulica: 'Świerchowa',Znormalizowana: 'swierchowa',Ulica NIE istnieje w bazie TERYT|A1218724||OSIEK JASIELSKI|Świerchowa|129||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Świerczeskiego'/'swierczeskiego'/Szukana ulica: 'Świerczeskiego',Znormalizowana: 'swierczeskiego',Ulica NIE istnieje w bazie TERYT|A1734981|41-100|Siemianowice Śląskie|Świerczeskiego|6|1|||
Błędna nazwa ulicy 'Świerdawskiego'/'swierdawskiego'/Szukana ulica: 'Świerdawskiego',Znormalizowana: 'swierdawskiego',Ulica NIE istnieje w bazie TERYT|A1451276|50-559|WROCŁAW|Świerdawskiego|67|33|||
Błędna nazwa ulicy 'Świerklaniec Bizja'/'swierklaniec bizja'/Szukana ulica: 'Świerklaniec Bizja',Znormalizowana: 'swierklaniec bizja',Ulica NIE istnieje w bazie TERYT|A1630426|42-622|TĄPKOWICE|Świerklaniec Bizja|7||||
Błędna nazwa ulicy 'Świerzowa Polska, ul'/'swierzowa polska, ul'/Szukana ulica: 'Świerzowa Polska, ul',Znormalizowana: 'swierzowa polska, ul',Ulica NIE istnieje w bazie TERYT|A1416809|38-457|ŚWIERZOWA POLSKA|Świerzowa Polska, ul|2||||
Błędna nazwa ulicy 'Świeszewo'/'swieszewo'/Szukana ulica: 'Świeszewo',Znormalizowana: 'swieszewo',Ulica NIE istnieje w bazie TERYT|A1692557|72-300|GRYFICE|Świeszewo|31||||
Błędna nazwa ulicy 'Świeszewo'/'swieszewo'/Szukana ulica: 'Świeszewo',Znormalizowana: 'swieszewo',Ulica NIE istnieje w bazie TERYT|A1812766|72-300|GRYFICE|Świeszewo|27|2|||
Błędna nazwa ulicy 'Święcica'/'swiecica'/Szukana ulica: 'Święcica',Znormalizowana: 'swiecica',Ulica NIE istnieje w bazie TERYT|A1219721||SICHOW MAŁY|Święcica|8||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'świętej Agnieszki'/'swietej agnieszki'/Szukana ulica: 'świętej Agnieszki',Znormalizowana: 'swietej agnieszki',Ulica NIE istnieje w bazie TERYT|A1758244|31-071|Kraków|świętej Agnieszki|9|18|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Świętej Agnieszki'/'swietej agnieszki'/Szukana ulica: 'Świętej Agnieszki',Znormalizowana: 'swietej agnieszki',Ulica NIE istnieje w bazie TERYT|A1641949|31-071|Kraków|Świętej Agnieszki|1|21|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Świętej Doroty'/'swietej doroty'/Szukana ulica: 'Świętej Doroty',Znormalizowana: 'swietej doroty',Ulica NIE istnieje w bazie TERYT|A1710400|34-400|Nowy Targ|Świętej Doroty|12||||
Błędna nazwa ulicy 'Świętej Jadwigi Król'/'swietej jadwigi krol'/Szukana ulica: 'Świętej Jadwigi Król',Znormalizowana: 'swietej jadwigi krol',Ulica NIE istnieje w bazie TERYT|A1658547|97-500|Radomsko|Świętej Jadwigi Król|6|60|ŁÓDZKIE|RADOMSZCZAŃSKI|RADOMSKO
Błędna nazwa ulicy 'Świętej Jadwigi Król'/'swietej jadwigi krol'/Szukana ulica: 'Świętej Jadwigi Król',Znormalizowana: 'swietej jadwigi krol',Ulica NIE istnieje w bazie TERYT|A1759439|97-500|Radomsko|Świętej Jadwigi Król|2|73|||
Błędna nazwa ulicy 'Świętej Katarzynay'/'swietej katarzynay'/Szukana ulica: 'Świętej Katarzynay',Znormalizowana: 'swietej katarzynay',Ulica NIE istnieje w bazie TERYT|A1543431|31-063|KRAKÓW|Świętej Katarzynay|4||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Świętej Kunegundy'/'swietej kunegundy'/Szukana ulica: 'Świętej Kunegundy',Znormalizowana: 'swietej kunegundy',Ulica NIE istnieje w bazie TERYT|A1826568|33-300|Nowy Sącz|Świętej Kunegundy|34|22|||
Błędna nazwa ulicy 'Świlcza'/'swilcza'/Szukana ulica: 'Świlcza',Znormalizowana: 'swilcza',Ulica NIE istnieje w bazie TERYT|A1266222|36-055|BRATKOWICE|Świlcza|780a||PODKARPACKIE|RZESZÓW|RZESZÓW
Błędna nazwa ulicy 'Świniary'/'swiniary'/Szukana ulica: 'Świniary',Znormalizowana: 'swiniary',Ulica NIE istnieje w bazie TERYT|A1674150|32-709|DRWINA|Świniary|28||||
Błędna nazwa ulicy 'Świnna Poręba-'/'swinna poreba-'/Szukana ulica: 'Świnna Poręba-',Znormalizowana: 'swinna poreba-',Ulica NIE istnieje w bazie TERYT|A1465198|34-106|ŚWINNA PORĘBA|Świnna Poręba-|110||||
Błędna nazwa ulicy 'T Króla'/'t'/Szukana ulica: 'T Króla',Znormalizowana: 't',Ulica NIE istnieje w bazie TERYT|A1175813|27-600|SANDOMIERZ|T Króla|8|76|ŚWIĘTOKRZYSKIE|SANDOMIERSKI|SANDOMIERZ
Błędna nazwa ulicy 'Taborowicza'/'taborowicza'/Szukana ulica: 'Taborowicza',Znormalizowana: 'taborowicza',Ulica NIE istnieje w bazie TERYT|A1370564|32-200|MIECHÓW|Taborowicza|23||||
Błędna nazwa ulicy 'Taborowicza'/'taborowicza'/Szukana ulica: 'Taborowicza',Znormalizowana: 'taborowicza',Ulica NIE istnieje w bazie TERYT|A1437016|32-200|MIECHÓW|Taborowicza|131||||
Błędna nazwa ulicy 'Taborowicza'/'taborowicza'/Szukana ulica: 'Taborowicza',Znormalizowana: 'taborowicza',Ulica NIE istnieje w bazie TERYT|A1436322|32-200|MIECHÓW|Taborowicza|84||||
Błędna nazwa ulicy 'Taborowicza'/'taborowicza'/Szukana ulica: 'Taborowicza',Znormalizowana: 'taborowicza',Ulica NIE istnieje w bazie TERYT|A1642242|32-200|Miechów|Taborowicza|125|0|||
Błędna nazwa ulicy 'Taborowicza'/'taborowicza'/Szukana ulica: 'Taborowicza',Znormalizowana: 'taborowicza',Ulica NIE istnieje w bazie TERYT|A1799680|32-200|MIECHÓW|Taborowicza|21||||
Błędna nazwa ulicy 'Tadeusza Bigo'/'tadeusza bigo'/Szukana ulica: 'Tadeusza Bigo',Znormalizowana: 'tadeusza bigo',Ulica NIE istnieje w bazie TERYT|A1759796|39-300|Mielec|Tadeusza Bigo|10||PODKARPACKIE|MIELECKI|MIELEC
Błędna nazwa ulicy 'Tadeusza Kościuszki 239a'/'tadeusza kosciuszki 239a'/Szukana ulica: 'Tadeusza Kościuszki 239a',Znormalizowana: 'tadeusza kosciuszki 239a',Ulica NIE istnieje w bazie TERYT|A1826432|26-500|Szydłowiec|Tadeusza Kościuszki 239a|239a||||
Błędna nazwa ulicy 'Tadeusza Krywki'/'tadeusza krywki'/Szukana ulica: 'Tadeusza Krywki',Znormalizowana: 'tadeusza krywki',Ulica NIE istnieje w bazie TERYT|A1640936|27-200|Starachowice|Tadeusza Krywki|17|4|||
Błędna nazwa ulicy 'Tadeusza Seweryna'/'tadeusza seweryna'/Szukana ulica: 'Tadeusza Seweryna',Znormalizowana: 'tadeusza seweryna',Ulica NIE istnieje w bazie TERYT|A1877029|30-632|KRAKÓW|Tadeusza Seweryna|14|14|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'TADEUSZA SEWERYNA'/'tadeusza seweryna'/Szukana ulica: 'TADEUSZA SEWERYNA',Znormalizowana: 'tadeusza seweryna',Ulica NIE istnieje w bazie TERYT|A1753049|30-681|KRAKÓW|TADEUSZA SEWERYNA|14|2|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Tadeusza Strumiły'/'tadeusza strumily'/Szukana ulica: 'Tadeusza Strumiły',Znormalizowana: 'tadeusza strumily',Ulica NIE istnieje w bazie TERYT|A1901017|32-091|MICHAŁOWICE|Tadeusza Strumiły|42||||
Błędna nazwa ulicy 'Tałalichina'/'talalichina'/Szukana ulica: 'Tałalichina',Znormalizowana: 'talalichina',Ulica NIE istnieje w bazie TERYT|A1826415|21-032|Winnica|Tałalichina|3|113|||
Błędna nazwa ulicy 'Tałdykina'/'taldykina'/Szukana ulica: 'Tałdykina',Znormalizowana: 'taldykina',Ulica NIE istnieje w bazie TERYT|A1813954|85-791|BYDGOSZCZ|Tałdykina|3||||
Błędna nazwa ulicy 'tan bang'/'tan bang'/Szukana ulica: 'tan bang',Znormalizowana: 'tan bang',Ulica NIE istnieje w bazie TERYT|A1736149||Vu Hoa, Tp. Bien Hoa, Dong|tan bang|K5/1G||||
Błędna nazwa ulicy 'Targanice Dolne'/'targanice dolne'/Szukana ulica: 'Targanice Dolne',Znormalizowana: 'targanice dolne',Ulica NIE istnieje w bazie TERYT|A1205034|34-120|ANDRYCHOW|Targanice Dolne|587||MAŁOPOLSKIE|WADOWICKI|WADOWICE
Błędna nazwa ulicy 'Targanice, ul. Beskidzka'/'targanice, ul. beskidzka'/Szukana ulica: 'Targanice, ul. Beskidzka',Znormalizowana: 'targanice, ul. beskidzka',Ulica NIE istnieje w bazie TERYT|A1465734|34-120|TARGANICE|Targanice, ul. Beskidzka|153||||
Błędna nazwa ulicy 'Targowa 18'/'targowa 18'/Szukana ulica: 'Targowa 18',Znormalizowana: 'targowa 18',Ulica NIE istnieje w bazie TERYT|A1195266|25-520|KIELCE|Targowa 18|18||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy 'Targowiska-Zalesie'/'targowiska-zalesie'/Szukana ulica: 'Targowiska-Zalesie',Znormalizowana: 'targowiska-zalesie',Ulica NIE istnieje w bazie TERYT|A1751439|38-430|MIEJSCE PIASTOWE|Targowiska-Zalesie|5c||||
Błędna nazwa ulicy 'Tarłowska 12'/'tarlowska 12'/Szukana ulica: 'Tarłowska 12',Znormalizowana: 'tarlowska 12',Ulica NIE istnieje w bazie TERYT|A1885171|31-102|KRAKÓW|Tarłowska 12|16||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Tarn. Batalionów Chł.'/'tarn. batalionow chl.'/Szukana ulica: 'Tarn. Batalionów Chł.',Znormalizowana: 'tarn. batalionow chl.',Ulica NIE istnieje w bazie TERYT|A1349639|33-200|DĄBROWA TARN.|Tarn. Batalionów Chł.|62||MAŁOPOLSKIE||
Błędna nazwa ulicy 'Tarnowiec k/Jasła'/'tarnowiec k/jasla'/Szukana ulica: 'Tarnowiec k/Jasła',Znormalizowana: 'tarnowiec k/jasla',Ulica NIE istnieje w bazie TERYT|A1741706|38-204|TARNOWIEC|Tarnowiec k/Jasła|163||||
Błędna nazwa ulicy 'Tarnów,ul.Lippóczy'/'tarnow,ul. lippoczy'/Szukana ulica: 'Tarnów,ul.Lippóczy',Znormalizowana: 'tarnow,ul. lippoczy',Ulica NIE istnieje w bazie TERYT|A1465264|33-100|TARNÓW|Tarnów,ul.Lippóczy|'ego-|23|||
Błędna nazwa ulicy 'Teligi Leonida'/'teligi leonida'/Szukana ulica: 'Teligi Leonida',Znormalizowana: 'teligi leonida',Ulica NIE istnieje w bazie TERYT|T1418995|30-835|KRAKÓW|Teligi Leonida|23|23|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Tereszpol Kukiełki'/'tereszpol kukielki'/Szukana ulica: 'Tereszpol Kukiełki',Znormalizowana: 'tereszpol kukielki',Ulica NIE istnieje w bazie TERYT|A1815678|23-407|TERESZPOL ZAORENDA|Tereszpol Kukiełki|167||||
Błędna nazwa ulicy 'Thach Loi'/'thach loi'/Szukana ulica: 'Thach Loi',Znormalizowana: 'thach loi',Ulica NIE istnieje w bazie TERYT|A1632059||HA NOI|Thach Loi|6||||
Błędna nazwa ulicy 'Thu Duc'/'thu duc'/Szukana ulica: 'Thu Duc',Znormalizowana: 'thu duc',Ulica NIE istnieje w bazie TERYT|A1632060||HO CHI MINH|Thu Duc|419|6|||
Błędna nazwa ulicy 'Tkaczowa'/'tkaczowa'/Szukana ulica: 'Tkaczowa',Znormalizowana: 'tkaczowa',Ulica NIE istnieje w bazie TERYT|A1296836|38-200|JASŁO|Tkaczowa|17|19|PODKARPACKIE|JASIELSKI|JASŁO
Błędna nazwa ulicy 'Tkaczowa'/'tkaczowa'/Szukana ulica: 'Tkaczowa',Znormalizowana: 'tkaczowa',Ulica NIE istnieje w bazie TERYT|A1612110|38-200|Jasło|Tkaczowa|17|13|||
Błędna nazwa ulicy 'Tkaczowa'/'tkaczowa'/Szukana ulica: 'Tkaczowa',Znormalizowana: 'tkaczowa',Ulica NIE istnieje w bazie TERYT|A1634686|38-200|Jasło|Tkaczowa|17|19|||
Błędna nazwa ulicy 'Tkaczowa'/'tkaczowa'/Szukana ulica: 'Tkaczowa',Znormalizowana: 'tkaczowa',Ulica NIE istnieje w bazie TERYT|A1686603|38-200|Jasło|Tkaczowa|17|22|||
Błędna nazwa ulicy 'to 3, khu 5, phuong'/'to 3, khu 5, phuong'/Szukana ulica: 'to 3, khu 5, phuong',Znormalizowana: 'to 3, khu 5, phuong',Ulica NIE istnieje w bazie TERYT|A1736437||T.pho Ha Long, Quang Ninh|to 3, khu 5, phuong|326||||
Błędna nazwa ulicy 'Tokarskiego DS19'/'tokarskiego ds19'/Szukana ulica: 'Tokarskiego DS19',Znormalizowana: 'tokarskiego ds19',Ulica NIE istnieje w bazie TERYT|ZA1936616|30-412|KRAKÓW|Tokarskiego DS19|2||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Tomaszkowice'/'tomaszkowice'/Szukana ulica: 'Tomaszkowice',Znormalizowana: 'tomaszkowice',Ulica NIE istnieje w bazie TERYT|A1265128|32-041|BISKUPICE|Tomaszkowice|301||MAŁOPOLSKIE|WIELICKI|WIELICZKA
Błędna nazwa ulicy 'Tomaszowice Kolonia'/'tomaszowice kolonia'/Szukana ulica: 'Tomaszowice Kolonia',Znormalizowana: 'tomaszowice kolonia',Ulica NIE istnieje w bazie TERYT|A1696398|21-008|TOMASZOWICE|Tomaszowice Kolonia|34||||
Błędna nazwa ulicy 'Tominy-'/'tominy-'/Szukana ulica: 'Tominy-',Znormalizowana: 'tominy-',Ulica NIE istnieje w bazie TERYT|A1465217|27-530|TOMINY|Tominy-|10||||
