Komunikat|ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Błędna nazwa ulicy 'Taborowicza'/'taborowicza'|A1437016|32-200|MIECHÓW|Taborowicza|131||||
Błędna nazwa ulicy 'Taborowicza'/'taborowicza'|A1436322|32-200|MIECHÓW|Taborowicza|84||||
Błędna nazwa ulicy 'Taborowicza'/'taborowicza'|A1642242|32-200|Miechów|Taborowicza|125|0|||
Błędna nazwa ulicy 'Taborowicza'/'taborowicza'|A1799680|32-200|MIECHÓW|Taborowicza|21||||
Błędna nazwa ulicy 'Tadeusza Bigo'/'tadeusza bigo'|A1759796|39-300|Mielec|Tadeusza Bigo|10||PODKARPACKIE|MIELECKI|MIELEC
Błędna nazwa ulicy 'Tadeusza Krywki'/'tadeusza krywki'|A1640936|27-200|Starachowice|Tadeusza Krywki|17|4|||
Błędna nazwa ulicy 'Tadeusza Seweryna'/'tadeusza seweryna'|A1877029|30-632|KRAKÓW|Tadeusza Seweryna|14|14|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'TADEUSZA SEWERYNA'/'tadeusza seweryna'|A1753049|30-681|KRAKÓW|TADEUSZA SEWERYNA|14|2|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Tadeusza Strumiły'/'tadeusza strumily'|A1901017|32-091|MICHAŁOWICE|Tadeusza Strumiły|42||||
Błędna nazwa ulicy 'Tałalichina'/'talalichina'|A1826415|21-032|Winnica|Tałalichina|3|113|||
Błędna nazwa ulicy 'Tałdykina'/'taldykina'|A1813954|85-791|BYDGOSZCZ|Tałdykina|3||||
Błędna nazwa ulicy 'tan bang'/'tan bang'|A1736149||Vu Hoa, Tp. Bien Hoa, Dong|tan bang|K5/1G||||
Błędna nazwa ulicy 'Targanice Dolne'/'targanice dolne'|A1205034|34-120|ANDRYCHOW|Targanice Dolne|587||MAŁOPOLSKIE|WADOWICKI|WADOWICE
Błędna nazwa ulicy 'Targanice, ul. Beskidzka'/'targanice, ul. beskidzka'|A1465734|34-120|TARGANICE|Targanice, ul. Beskidzka|153||||
Błędna nazwa ulicy 'Targowiska-Zalesie'/'targowiska-zalesie'|A1751439|38-430|MIEJSCE PIASTOWE|Targowiska-Zalesie|5c||||
Błędna nazwa ulicy 'Tarn. Batalionów Chł.'/'tarn. batalionow chl.'|A1349639|33-200|DĄBROWA TARN.|Tarn. Batalionów Chł.|62||MAŁOPOLSKIE||
Błędna nazwa ulicy 'Tarnowiec k/Jasła'/'tarnowiec k/jasla'|A1741706|38-204|TARNOWIEC|Tarnowiec k/Jasła|163||||
Błędna nazwa ulicy 'Tarnów,ul.Lippóczy'/'tarnow,ul. lippoczy'|A1465264|33-100|TARNÓW|Tarnów,ul.Lippóczy|'ego-|23|||
Błędna nazwa ulicy 'Teligi Leonida'/'teligi leonida'|T1418995|30-835|KRAKÓW|Teligi Leonida|23|23|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Tereszpol Kukiełki'/'tereszpol kukielki'|A1815678|23-407|TERESZPOL ZAORENDA|Tereszpol Kukiełki|167||||
Błędna nazwa ulicy 'Thach Loi'/'thach loi'|A1632059||HA NOI|Thach Loi|6||||
Błędna nazwa ulicy 'Thu Duc'/'thu duc'|A1632060||HO CHI MINH|Thu Duc|419|6|||
Błędna nazwa ulicy 'Tkaczowa'/'tkaczowa'|A1296836|38-200|JASŁO|Tkaczowa|17|19|PODKARPACKIE|JASIELSKI|JASŁO
Błędna nazwa ulicy 'Tkaczowa'/'tkaczowa'|A1443554|30-040|BOGUCHWAŁA|Tkaczowa|57||||
Błędna nazwa ulicy 'Tkaczowa'/'tkaczowa'|A1612110|38-200|Jasło|Tkaczowa|17|13|||
Błędna nazwa ulicy 'Tkaczowa'/'tkaczowa'|A1634686|38-200|Jasło|Tkaczowa|17|19|||
Błędna nazwa ulicy 'Tkaczowa'/'tkaczowa'|A1686603|38-200|Jasło|Tkaczowa|17|22|||
Błędna nazwa ulicy 'to 3, khu 5, phuong'/'to 3, khu 5, phuong'|A1736437||T.pho Ha Long, Quang Ninh|to 3, khu 5, phuong|326||||
Błędna nazwa ulicy 'Tokarskiego DS19'/'tokarskiego ds19'|ZA1936616|30-412|KRAKÓW|Tokarskiego DS19|2||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Tomaszkowice'/'tomaszkowice'|A1265128|32-041|BISKUPICE|Tomaszkowice|301||MAŁOPOLSKIE|WIELICKI|WIELICZKA
Błędna nazwa ulicy 'Tomaszowice Kolonia'/'tomaszowice kolonia'|A1696398|21-008|TOMASZOWICE|Tomaszowice Kolonia|34||||
Błędna nazwa ulicy 'Tominy-'/'tominy-'|A1465217|27-530|TOMINY|Tominy-|10||||
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1351397|25-549|KIELCE|Toporowskiego|83|83|ŚWIĘTOKRZYSKIE||
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1351486|25-546|KIELCE|Toporowskiego|34|58|ŚWIĘTOKRZYSKIE|KIELCE|KIELCE
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1304574|25-547|KIELCE|Toporowskiego|71|34|ŚWIĘTOKRZYSKIE|KIELCE|KIELCE
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1438260|25-549|KIELCE|Toporowskiego|67|5|||
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|ZA1351486|25-546|KIELCE|Toporowskiego|34|58|ŚWIĘTOKRZYSKIE|KIELCE|KIELCE
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1629551|25-547|KIELCE|Toporowskiego|79|28|ŚWIĘTOKRZYSKIE|KIELCE|KIELCE
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|TU1351486|25-546|KIELCE|Toporowskiego|34|58|ŚWIĘTOKRZYSKIE|KIELCE|KIELCE
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1657663|25-533|Kielce|Toporowskiego|16|3|||
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1658316|25-546|Kielce|Toporowskiego|34||||
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1697678|25-549|KIELCE|Toporowskiego|79|8|||
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1709889|25-546|Kielce|Toporowskiego|51|18 a|||
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1710619|25-549|Kielce|Toporowskiego|63 B||||
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1711360|25-533|Kielce|Toporowskiego|17|13|||
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1736637|25-549|Kielce|Toporowskiego|81|24|||
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1737495|25-549|Kielce|Toporowskiego|81|57|||
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1778214|25-549|Kielce|Toporowskiego|67|21|||
Błędna nazwa ulicy 'Toporowskiego'/'toporowskiego'|A1780031|25-549|Kielce|Toporowskiego|73|51|||
Błędna nazwa ulicy 'TOPOROWSKIEGO'/'toporowskiego'|A31342506|25-553|KIELCE|TOPOROWSKIEGO|98||||
Błędna nazwa ulicy 'Toporzysko'/'toporzysko'|A1204847|34-785|JORDANOW|Toporzysko|49||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Tow.Szkoły Ludowej'/'szkoly ludowej'|A1351333|43-300|BIELSKO BIAŁA|Tow.Szkoły Ludowej|15|10|ŚLĄSKIE||
Błędna nazwa ulicy 'Towarowazka'/'towarowazka'|A1445487|00-811|WARSZAWA|Towarowazka|2||||
Błędna nazwa ulicy 'Towarzystwa Szkoły'/'towarzystwa szkoly'|A1616009|43-300|Bielsko-Biała|Towarzystwa Szkoły|L||||
Błędna nazwa ulicy 'Tr.SNP'/'snp'|A1435786|04-011|KOSZYCE|Tr.SNP|42||||
Błędna nazwa ulicy 'Traczowa'/'traczowa'|A1831038|34-235|Bystra Podhalańska|Traczowa|292||||
Błędna nazwa ulicy 'Trakt Świętego Wojciecha'/'trakt wojciecha'|A1676502|80-044|GDAŃSK|Trakt Świętego Wojciecha|29||||
Błędna nazwa ulicy 'Trasa Prez. Wł. Raczkiewicza'/'trasa prez. wl. raczkiewicza'|A1983910|87-100|TORUŃ|Trasa Prez. Wł. Raczkiewicza|1||||
Błędna nazwa ulicy 'Traugutta 8 /'/'traugutta 8 /'|A1349600|26-200|KOŃSKIE|Traugutta 8 / 10|||ŚWIĘTOKRZYSKIE||
Błędna nazwa ulicy 'Trawinki-Kolonia'/'trawinki-kolonia'|A1952998|21-044|TRAWINKI|Trawinki-Kolonia|7A||||
Błędna nazwa ulicy 'Trawniki kolonia'/'trawniki kolonia'|A1685616|21-044|Trawniki|Trawniki kolonia|184||||
Błędna nazwa ulicy 'Trąbki-'/'trabki-'|A1464780|32-020|TRĄBKI|Trąbki-|160||||
Błędna nazwa ulicy 'Trąbki'/'trabki'|A1205508|32-041|BISKUPICE|Trąbki|188||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Trąbki'/'trabki'|A1652460|30-020|WIELICZKA|Trąbki|251||||
Błędna nazwa ulicy 'Trąbki'/'trabki'|A1785618|32-041|BISKUPICE|Trąbki|160||||
Błędna nazwa ulicy 'Trojska'/'trojska'|A1426436|00-000|PRAGA|Trojska|1997|13a|||
Błędna nazwa ulicy 'Tropiszów'/'tropiszow'|A1755863|32-126|IGOŁOMIA|Tropiszów|39||||
Błędna nazwa ulicy 'Tropiszów'/'tropiszow'|A1702944|32-126|IGOŁOMIA|Tropiszów|99||||
Błędna nazwa ulicy 'Truskawkowa Brzezia Łąka'/'truskawkowa brzezia laka'|A1785175|55-093|KIEŁCZA|Truskawkowa Brzezia Łąka|7||||
Błędna nazwa ulicy 'Trzcianica'/'trzcianica'|A1412999|38-207|TRZCINICA|Trzcianica|534||||
Błędna nazwa ulicy 'Trzcinia'/'trzcinia'|A1390689|38-207|PRZYSIEKI|Trzcinia|197||||
Błędna nazwa ulicy 'Trzcinica-'/'trzcinica-'|A1464943|38-207|TRZCINICA|Trzcinica-|573||||
Błędna nazwa ulicy 'Trzcinica'/'trzcinica'|ZA1205539|32-202|PRZYSIEKI|Trzcinica|79|3|PODKARPACKIE|JASIELSKI|JASŁO
Błędna nazwa ulicy 'Trzebina Rynek'/'trzebina rynek'|A1353497|32-540|TRZEBINIA|Trzebina Rynek|3|2|||
Błędna nazwa ulicy 'Trzebinia Bolęcin Krakowska'/'trzebinia bolecin krakowska'|A1353473|32-540|TRZEBINIA|Trzebinia Bolęcin Krakowska|39||||
Błędna nazwa ulicy 'Trzebinia'/'trzebinia'|A1650372|26-340|DRZEWICA|Trzebinia|70||||
Błędna nazwa ulicy 'Trzebińska 15 m'/'trzebinska 15 m'|A1205549|32-500|CHRZANÓW|Trzebińska 15 m|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Trzeciego Maja'/'trzeciego maja'|A1466415|39-220|PILZNO|Trzeciego Maja|192||||
Błędna nazwa ulicy 'Trzeciego Maja'/'trzeciego maja'|A1828505|39-432|Gorzyce|Trzeciego Maja|10|F|||
Błędna nazwa ulicy 'Tuchla Osada'/'tuchla osada'|A1351026|37-543|TUCHLA|Tuchla Osada|4|1|||
Błędna nazwa ulicy 'Tuczempy'/'tuczempy'|ZA1295556|37-500|JAROSŁAW|Tuczempy|117||PODKARPACKIE|JAROSŁAWSKI|JAROSŁAW
Błędna nazwa ulicy 'TUŁODZIECKA'/'tulodziecka'|A1618686|60-465|POZNAŃ|TUŁODZIECKA|26||||
Błędna nazwa ulicy 'Tumlin-Węgle-'/'tumlin-wegle-'|A1464788|26-050|TUMLIN-WĘGLE|Tumlin-Węgle-|87||||
Błędna nazwa ulicy 'Turbia'/'turbia'|A1464040|37-416|ZBYDNIÓW|Turbia|66||||
Błędna nazwa ulicy 'TURNERSTRASSE'/'turnerstrasse'|A1889596||SZWAJCARIA|TURNERSTRASSE|39||||
Błędna nazwa ulicy 'Turowola - Kolonia'/'turowola - kolonia'|A1770932|21-013|PUCHACZÓW|Turowola - Kolonia|26||||
Błędna nazwa ulicy 'Tuwima Juliana'/'tuwima juliana'|A1826254|37-700|Przemyśl|Tuwima Juliana|1|8|||
Błędna nazwa ulicy 'Twardorzeczka-'/'twardorzeczka-'|A1465472|34-324|TWARDORZECZKA|Twardorzeczka-|42||||
Błędna nazwa ulicy 'Tybra'/'tybra'|A1321757|90-950|ŁÓDŹ|Tybra|3||||
Błędna nazwa ulicy 'Tybury'/'tybury'|A1316234|91-016|ŁÓDŹ|Tybury|8|42|ŁÓDZKIE|ŁÓDŹ|ŁÓDŹ
Błędna nazwa ulicy 'Tych,ul. Nałkowskiej-'/'tych,ul. nalkowskiej-'|A1465561|43-100|TYCH|Tych,ul. Nałkowskiej-|44||||
Błędna nazwa ulicy 'TYMBARK PODPŁOMIEŃ'/'tymbark podplomien'|A1409298|34-650|TYMBARK|TYMBARK PODPŁOMIEŃ|303||||
Błędna nazwa ulicy 'Tymianka'/'tymianka'|A1395313|34-973|STRYKÓW|Tymianka|46||||
Błędna nazwa ulicy 'Tysiąclecia Os.'/'tysiaclecia os.'|A1296754|31-610|KRAKÓW|Tysiąclecia Os.|61|67|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Tysiąclecia Os.'/'tysiaclecia os.'|ZA1296754|31-610|KRAKÓW|Tysiąclecia Os.|61|67|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Tysiąclecia P.P.'/'tysiaclecia p. p.'|A1660427|22-200|Włodawa|Tysiąclecia P.P.|12|6|||
Błędna nazwa ulicy 'Uczestników Ruchu Op'/'uczestnikow ruchu op'|A1761028|32-800|Brzesko|Uczestników Ruchu Op|11A||||
Błędna nazwa ulicy 'Uherce Mineralne Kostrzyn'/'uherce mineralne kostrzyn'|A1356330|38-600|OLSZANICA|Uherce Mineralne Kostrzyn|285||PODKARPACKIE|LESKI|LESKO
Błędna nazwa ulicy 'Uhnin-'/'uhnin-'|A1465445|21-211|UHNIN|Uhnin-|13||||
Błędna nazwa ulicy 'ul 1-Maj'/'1-maj'|A1401135|44-340|GODÓW|ul 1-Maj|-|39|||
Błędna nazwa ulicy 'ul-Konduktorska'/'ul-konduktorska'|A1232326|00-775|WARSZAWA|ul-Konduktorska|4||||
Błędna nazwa ulicy 'ul, Chopina'/'ul, chopina'|A1282437|87-100|TORUŃ|ul, Chopina|20||||
Błędna nazwa ulicy 'ul, Gałeczki'/'ul, galeczki'|A1232956|41-506|CHORZÓW|ul, Gałeczki|61||||
Błędna nazwa ulicy 'ul, Górnicza'/'ul, gornicza'|A1993429|32-590|LIBIĄŻ|ul, Górnicza 23|||||
Błędna nazwa ulicy 'ul, Kościuszki'/'ul, kosciuszki'|A1418881|32-005|NIEPOŁOMICE|ul, Kościuszki|13||||
Błędna nazwa ulicy 'ul, Legionów'/'ul, legionow'|A1345432|32-020|WIELICZKA|ul, Legionów|12||||
Błędna nazwa ulicy 'ul, Nadarzyn'/'ul, nadarzyn'|A1274238|05-230|KOBYŁKA|ul, Nadarzyn|27a||||
Błędna nazwa ulicy 'ul, Niedżwiedzia'/'ul, niedzwiedzia'|A1267763|02-737|WARSZAWA|ul, Niedżwiedzia|2a||||
Błędna nazwa ulicy 'ul, Przy Kaszowniku'/'ul, przy kaszowniku'|A1337661|87-100|TORUŃ|ul, Przy Kaszowniku|41B|48|||
Błędna nazwa ulicy 'ul, Ryzowa'/'ul, ryzowa'|A1387116|02-495|WARSZAWA|ul, Ryzowa|33A||||
Błędna nazwa ulicy 'ul, Sienkiewicza'/'ul, sienkiewicza'|A1290186|43-100|TYCHY|ul, Sienkiewicza 15|||||
Błędna nazwa ulicy 'ul, Szlachtowskiego'/'ul, szlachtowskiego'|A1241460|30-132|KRAKÓW|ul, Szlachtowskiego|20|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'ul,Bagrowa'/'ul,bagrowa'|A1224759|30-733|KRAKÓW|ul,Bagrowa|9||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'ul,Jastrzebska'/'ul,jastrzebska'|A14522|44-288|RYBNIK|ul,Jastrzebska|12||ŁÓDZKIE||
Błędna nazwa ulicy 'ul,Kalwaryjska'/'ul,kalwaryjska'|A1226000|30-504|KRAKÓW|ul,Kalwaryjska|34||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'ul,Kmicica'/'ul,kmicica'|A1251713|65-001|ZIELONA GÓRA|ul,Kmicica|48||LUBUSKIE|ZIELONA GÓRA|ZIELONA GÓRA
Błędna nazwa ulicy 'ul,Kosiby'/'ul,kosiby'|A1220449|32-020|WIELICZKA|ul,Kosiby|25||MAŁOPOLSKIE|WIELICKI|WIELICZKA
Błędna nazwa ulicy 'ul,Kosiby'/'ul,kosiby'|S1220449|32-020|WIELICZKA|ul,Kosiby|25||MAŁOPOLSKIE|WIELICKI|WIELICZKA
Błędna nazwa ulicy 'ul,Krańcowa'/'ul,krancowa'|A1184116|61-022|POZNAŃ|ul,Krańcowa|15||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy 'ul,Krucza'/'ul,krucza'|A1279709|00-522|WARSZAWA|ul,Krucza|28|219|||
Błędna nazwa ulicy 'ul,L.Róźyckiego'/'ul,l. rozyckiego'|A1231325|51-608|WROCŁAW|ul,L.Róźyckiego|1||||
Błędna nazwa ulicy 'ul,Malinowskiego'/'ul,malinowskiego'|A1271004|02-776|WARSZAWA|ul,Malinowskiego|5||||
Błędna nazwa ulicy 'ul,Postępu'/'ul,postepu'|A1231561|02-676|WARSZAWA|ul,Postępu|14||||
Błędna nazwa ulicy 'ul,Rybacka'/'ul,rybacka'|A1248848|70-204|SZCZECIN|ul,Rybacka|1||||
Błędna nazwa ulicy 'ul,Spisaka'/'ul,spisaka'|A1275138|02-495|WARSZAWA|ul,Spisaka|83||||
Błędna nazwa ulicy 'ul,Stoczniowa'/'ul,stoczniowa'|A1279175|82-300|ELBLĄG|ul,Stoczniowa|2||||
Błędna nazwa ulicy 'ul,Szpitalna'/'ul,szpitalna'|A1226304|31-024|KRAKÓW|ul,Szpitalna|28||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'ul,Tokarskiego'/'ul,tokarskiego'|A1273090|30-065|KRAKÓW|ul,Tokarskiego|6||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'ul,Waszyngtona'/'ul,waszyngtona'|A1231760||WARSZAWA|ul,Waszyngtona|45|51|||
Błędna nazwa ulicy 'ul;.Rogozińska'/'ul;. rogozinska'|A1405471||POZNAŃ|ul;.Rogozińska|10||||
Błędna nazwa ulicy 'ul;Rusznikarska'/'ul;rusznikarska'|A1229311|31-579|KRAKÓW|ul;Rusznikarska|12b|16-17|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Ul. ?więtego Marka'/'?wietego marka'|A1397504|31-024|KRAKÓW|Ul. ?więtego Marka|27|7|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'ul. (brak)'/'(brak)'|A1961062|21-044|Oleśniki|ul. (brak)|38||||
Błędna nazwa ulicy 'ul. 1 Ma'/'1 ma'|A1403150|41-710|RUDA ŚLĄSKA|ul. 1 Ma|1|363|||
Błędna nazwa ulicy 'Ul. 1 Ma'/'1 ma'|A1350092|43-250|PAWŁOWICE|Ul. 1 Ma|1|37|||
Błędna nazwa ulicy 'ul. 1000-Lecia P.P.'/'1000-lecia p. p.'|A1940909|22-200|Włodawa|ul. 1000-Lecia P.P.|19|58|||
Błędna nazwa ulicy 'ul. 28 lipca 1943 r.'/'28 lipca 1943 r.'|A1941708|30-233|Kraków|ul. 28 lipca 1943 r.|27|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'ul. 28 Lipca 1943'/'28 lipca'|A1990613|30-233|Kraków|ul. 28 Lipca 1943|11c||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'ul. 28 Lipca 1943r'/'28 lipca'|A1937834|30-233|Kraków|ul. 28 Lipca 1943r|15|15|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'ul. 3-go Powstania Śląskiego'/'3 powstania slaskiego'|A1860374|41-403|DĄBROWA GÓRNICZA|ul. 3-go Powstania Śląskiego|8|9|||
Błędna nazwa ulicy 'ul. 3maja'/'3maja'|A1395690|32-400|MYŚLENICE|ul. 3maja|94a||||
Błędna nazwa ulicy 'ul. 500 L'/'500 l'|A1401921|82-200|MALBORK|ul. 500 L|500 L98||||
Błędna nazwa ulicy 'ul. A. Krajowej'/'krajowej'|A1804736|30-150|KRAKÓW|ul. A. Krajowej|8A|20|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'ul. abpa A. Baraniaka'/'abpa a. baraniaka'|A1457238|61-131|POZNAŃ|ul. abpa A. Baraniaka|88A||||
Błędna nazwa ulicy 'ul. Adama Ablewicza'/'adama ablewicza'|A1987764|37-200|Przeworsk|ul. Adama Ablewicza|2||||
Błędna nazwa ulicy 'ul. Akademika Korolowa'/'akademika korolowa'|A1990283||Odesa|ul. Akademika Korolowa|79|11|||
Błędna nazwa ulicy 'ul. Aleja B. Krzywoustego'/'aleja b. krzywoustego'|A1841359|40-870|KATOWICE|ul. Aleja B. Krzywoustego|6|24|||
Błędna nazwa ulicy 'ul. Aleksandry Wachniewskiej'/'aleksandry wachniewskiej'|A1939151|22-470|Zwierzyniec|ul. Aleksandry Wachniewskiej|15|3|||
Błędna nazwa ulicy 'ul. Bartne 7'/'bartne'|A1965332|38-307|Sękowa|ul. Bartne 7|7||||
Błędna nazwa ulicy 'Ul. Batalionów Chłop'/'batalionow chlop'|A1394242|42-209|CZĘSTOCHOWA|Ul. Batalionów Chłop|33b||||
Błędna nazwa ulicy 'ul. Beliny Prażmowskiego'/'beliny prazmowskiego'|A1815461|31-514|KRAKÓW|ul. Beliny Prażmowskiego|33|6|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'ul. Będziaki 38'/'bedziaki'|A1987306|28-506|Czarnocin|ul. Będziaki 38|38||||
Błędna nazwa ulicy 'ul. Biały Bór'/'bialy bor'|A1961080|39-321|Tuszyma|ul. Biały Bór|235||||
Błędna nazwa ulicy 'ul. Biczyce Górne'/'biczyce gorne'|A1965375|33-395|Nowy Sącz|ul. Biczyce Górne|9||||
Błędna nazwa ulicy 'ul. Bidziny'/'bidziny'|A1937633|27-532|Wojciechowice|ul. Bidziny|37||||
Błędna nazwa ulicy 'ul. Bielańska Budynek Senator'/'bielanska budynek senator'|A1694242|00-085|WARSZAWA|ul. Bielańska Budynek Senator|12||||
Błędna nazwa ulicy 'ul. Biesiadki'/'biesiadki'|A1991854|32-864|Gnojnik|ul. Biesiadki|176||||
Błędna nazwa ulicy 'Ul. Bilsko'/'bilsko'|A1961424|33-314|Łososina Dolna|Ul. Bilsko|40||||
Błędna nazwa ulicy 'ul. Bocheniec'/'bocheniec'|A1989235|28-366|Małogoszcz|ul. Bocheniec|37c||ŚWIĘTOKRZYSKIE|JĘDRZEJOWSKI|MAŁOGOSZCZ
Błędna nazwa ulicy 'ul. Boczkowice'/'boczkowice'|A1965390|29-100|Włoszczowa|ul. Boczkowice|15a||||
Błędna nazwa ulicy 'Ul. Bogoria'/'bogoria'|A1989742|27-670|Łoniów|Ul. Bogoria|58||||
Błędna nazwa ulicy 'ul. Bogucin'/'bogucin'|A1836447|21-080|GARBÓW|ul. Bogucin|157||||
Błędna nazwa ulicy 'Ul. Boh. Westerplatt'/'westerplatt'|A1390911|28-100|BUSKO ZDRÓJ|Ul. Boh. Westerplatt|12||||
Błędna nazwa ulicy 'Ul. Bohaterów Getta Warszawski'/'bohaterow getta warszawski'|A1393966|97-200|TOMASZÓW MAZOWIECKI|Ul. Bohaterów Getta Warszawski|08-gru|16|||
Błędna nazwa ulicy 'ul. Boksycka'/'boksycka'|A1988720|27-415|Kunów|ul. Boksycka|155c||||
Błędna nazwa ulicy 'ul. Bolesława Adamczyka'/'boleslawa adamczyka'|A1965003|33-335|Żeleźnikowa Wielka|ul. Bolesława Adamczyka|8||||
Błędna nazwa ulicy 'ul. Borki Kosiorki'/'borki kosiorki'|A1837419|08-112|WIŚNIEW|ul. Borki Kosiorki|42||||
Błędna nazwa ulicy 'ul. Braci Kazurów'/'braci kazurow'|A1964006|38-440|Iwonicz Zdrój|ul. Braci Kazurów|17||PODKARPACKIE|KROŚNIEŃSKI|IWONICZ-ZDRÓJ
Błędna nazwa ulicy 'ul. brak'/'brak'|A1939004|34-470|Wroblowka|ul. brak|122||||
Błędna nazwa ulicy 'ul. Brak'/'brak'|A1989198|32-864|Gnojnik|ul. Brak|638||||
Błędna nazwa ulicy 'ul. Branewka'/'branewka'|A1987134|23-304|Dzwola|ul. Branewka|5||||
Błędna nazwa ulicy 'ul. Buczyśkiego'/'buczyskiego'|A1965074|22-550|Werbkowice|ul. Buczyśkiego|14||||
Błędna nazwa ulicy 'ul. Burkatów'/'burkatow'|A1938482|58-100|Świdnica|ul. Burkatów|2K||||
Błędna nazwa ulicy 'ul. Bysina'/'bysina'|A1965336|32-400|Myślenice|ul. Bysina|263||||
Błędna nazwa ulicy 'ul. Bystrzejowice'/'bystrzejowice'|A1886084|21-050|PISAKI|ul. Bystrzejowice|3|25|||
Błędna nazwa ulicy 'ul. C-'/'c-'|A1416510|32-086|WĘGRZCE|ul. C-|11|12|||
Błędna nazwa ulicy 'ul. Chodków Stary'/'chodkow stary'|A1988784|27-670|Łoniów|ul. Chodków Stary|40a||||
Błędna nazwa ulicy 'ul. Chromadińska'/'chromadinska'|A1990298||Charków|ul. Chromadińska|14|7|||
Błędna nazwa ulicy 'ul. Chrosa 148'/'chrosa'|A1964848|32-084|Morawica|ul. Chrosa 148|148||||
Błędna nazwa ulicy 'ul. Chrząstów'/'chrzastow'|A1991707|39-331|Chorzelów|ul. Chrząstów|212||||
Błędna nazwa ulicy 'ul. Czasław'/'czaslaw'|A1941490|32-415|Raciechowice|ul. Czasław|98a||||
Błędna nazwa ulicy 'ul. Czasław'/'czaslaw'|A1965219|32-415|Raciechowice|ul. Czasław|35||||
Błędna nazwa ulicy 'ul. Czumackyj szlach'/'czumackyj szlach'|A1990281||Krzemieńczuk|ul. Czumackyj szlach|53||||
Błędna nazwa ulicy 'ul. Da Republika'/'da republika'|A1412105||LUANDA|ul. Da Republika|26||||
Błędna nazwa ulicy 'ul. Doktor Stefanii Perzanowsk'/'doktor stefanii perzanowsk'|A1989200|26-617|Radom|ul. Doktor Stefanii Perzanowsk|10|1|||
Błędna nazwa ulicy 'Ul. Drohobyczka'/'drohobyczka'|A1986979|37-750|Dubiecko|Ul. Drohobyczka|67||||
Błędna nazwa ulicy 'ul. Drzonków-Sarnia'/'drzonkow-sarnia'|A1987249|66-004|Zielona Góra|ul. Drzonków-Sarnia|4||||
Błędna nazwa ulicy 'Ul. Dywizjonu'/'dywizjonu'|A1390784|10-088|OLSZTYN|Ul. Dywizjonu|303|7|||
Błędna nazwa ulicy 'Ul. Engielsa'/'engielsa'|A1350032|22-405|BRZEŚĆ|Ul. Engielsa|11|21|||
