STATUS;MIEJSCOWOŒÆ;ULICA;NUMERY;GMINA;POWIAT;WOJEWÓDZTWO;POPRZEDNIO;TERAZ
+;Kraków (Kraków-Podgórze);Feliksa Jasieñskiego;15-DK(n), 18-DK(p);Kraków;Kraków;ma³opolskie;;30-799
-;Kraków (Kraków-Podgórze);Feliksa Jasieñskiego;;Kraków;Kraków;ma³opolskie;30-899;
+;Kraków (Kraków-Podgórze);Gromadzka;1-25, 27-35(n);Kraków;Kraków;ma³opolskie;;30-714
+;Kraków (Kraków-Podgórze);Gromadzka;26-34(p), 36-DK;Kraków;Kraków;ma³opolskie;;30-719
-;Kraków (Kraków-Podgórze);Gromadzka;;Kraków;Kraków;ma³opolskie;30-714;
-;Kraków (Kraków-Podgórze);Henryka Kamieñskiego;1-DK;Kraków;Kraków;ma³opolskie;30-644;
+;Kraków (Kraków-Podgórze);Henryka Kamieñskiego;1-DK(n);Kraków;Kraków;ma³opolskie;;30-644
+;Kraków (Kraków-Podgórze);Ignacego Krasickiego;1-15(n);Kraków;Kraków;ma³opolskie;;30-513
+;Kraków (Kraków-Podgórze);Ignacego Krasickiego;17-DK(n);Kraków;Kraków;ma³opolskie;;30-515
-;Kraków (Kraków-Podgórze);Ignacego Krasickiego;1-DK(n);Kraków;Kraków;ma³opolskie;30-513;
#;Kraków (Kraków-Podgórze);Juliusza Osterwy;22-DK(p), 31-DK(n);Kraków;Kraków;ma³opolskie;30-698;30-699
+;Kraków (Kraków-Podgórze);ks. Piotra Œciegiennego;1-52a, 53-61(n);Kraków;Kraków;ma³opolskie;;30-830
-;Kraków (Kraków-Podgórze);ks. Piotra Œciegiennego;1-82;Kraków;Kraków;ma³opolskie;30-809;
+;Kraków (Kraków-Podgórze);ks. Piotra Œciegiennego;54-60a(p), 62-DK;Kraków;Kraków;ma³opolskie;;30-809
-;Kraków (Kraków-Podgórze);ks. Piotra Œciegiennego;83-DK;Kraków;Kraków;ma³opolskie;30-830;
+;Kraków (Kraków-Podgórze);Malborska;21-85, 109-117(n);Kraków;Kraków;ma³opolskie;;30-646
-;Kraków (Kraków-Podgórze);Malborska;21-85(n);Kraków;Kraków;ma³opolskie;30-646;
-;Kraków (Kraków-Podgórze);Malborska;86-DK;Kraków;Kraków;ma³opolskie;30-624;
+;Kraków (Kraków-Podgórze);Malborska;86-DK(p), 87-107(n), 119-DK(n);Kraków;Kraków;ma³opolskie;;30-624
+;Kraków (Kraków-Podgórze);Medyczna;;Kraków;Kraków;ma³opolskie;;30-688
+;Kraków (Kraków-Podgórze);Na Koz³ówce;1, 5-9(n);Kraków;Kraków;ma³opolskie;;30-631
-;Kraków (Kraków-Podgórze);Na Koz³ówce;1-9(n), 2;Kraków;Kraków;ma³opolskie;30-631;
+;Kraków (Kraków-Podgórze);Na Koz³ówce;2-4a, 6-10(p), 11-DK(n);Kraków;Kraków;ma³opolskie;;30-664
-;Kraków (Kraków-Podgórze);Na Koz³ówce;4-6(p), 11-DK(n);Kraków;Kraków;ma³opolskie;30-664;
+;Kraków (Kraków-Podgórze);Pala Telekiego;;Kraków;Kraków;ma³opolskie;;30-609
-;Kraków (Kraków-Podgórze);Powstañców Wielkopolskich;1-7(n);Kraków;Kraków;ma³opolskie;31-553;
+;Kraków (Kraków-Podgórze);Powstañców Wielkopolskich;1-7(n), 2-16(p);Kraków;Kraków;ma³opolskie;;30-553
-;Kraków (Kraków-Podgórze);Powstañców Wielkopolskich;2-16(p);Kraków;Kraków;ma³opolskie;30-553;
+;Kraków (Kraków-Podgórze);Pó³³anki;10;Kraków;Kraków;ma³opolskie;;30-858
+;Kraków (Kraków-Podgórze);Pó³³anki;10-DK;Kraków;Kraków;ma³opolskie;;30-740
-;Kraków (Kraków-Podgórze);Pó³³anki;;Kraków;Kraków;ma³opolskie;30-858;
+;Kraków (Kraków-Podgórze);Przewóz;1-39(n), 2-64(p);Kraków;Kraków;ma³opolskie;;30-716
+;Kraków (Kraków-Podgórze);Przewóz;41-DK(n), 66-DK(p);Kraków;Kraków;ma³opolskie;;30-721
-;Kraków (Kraków-Podgórze);Przewóz;;Kraków;Kraków;ma³opolskie;30-716;
+;Kraków (Kraków-Podgórze);Rybitwy;1-81(n), 16-108(p);Kraków;Kraków;ma³opolskie;;30-722
+;Kraków (Kraków-Podgórze);Rybitwy;83-109(n), 110-DK;Kraków;Kraków;ma³opolskie;;30-736
-;Kraków (Kraków-Podgórze);Rybitwy;;Kraków;Kraków;ma³opolskie;30-722;
-;Kraków (Kraków-Podgórze);rynek Rynek Podgórski;1;Kraków;Kraków;ma³opolskie;30-533;
+;Kraków (Kraków-Podgórze);rynek Rynek Podgórski;1-4a;Kraków;Kraków;ma³opolskie;;30-533
-;Kraków (Kraków-Podgórze);rynek Rynek Podgórski;2-DK;Kraków;Kraków;ma³opolskie;30-518;
+;Kraków (Kraków-Podgórze);rynek Rynek Podgórski;5-DK;Kraków;Kraków;ma³opolskie;;30-518
+;Kraków (Kraków-Podgórze);Saska;1-11(n), 2-2b;Kraków;Kraków;ma³opolskie;;30-715
-;Kraków (Kraków-Podgórze);Saska;1-9a(n), 2-2c;Kraków;Kraków;ma³opolskie;30-715;
-;Kraków (Kraków-Podgórze);Saska;4-DK(p), 11-DK(n);Kraków;Kraków;ma³opolskie;30-720;
+;Kraków (Kraków-Podgórze);Saska;4-DK(p), 13-DK(n);Kraków;Kraków;ma³opolskie;;30-720
+;Kraków (Kraków-Podgórze);Œliska;1-11, 13-DK(n);Kraków;Kraków;ma³opolskie;;30-504
+;Kraków (Kraków-Podgórze);Œliska;12-DK(p);Kraków;Kraków;ma³opolskie;;30-516
-;Kraków (Kraków-Podgórze);Œliska;16-DK(p);Kraków;Kraków;ma³opolskie;30-516;
-;Kraków (Kraków-Podgórze);Œliska;1-DK(n), 2-14(p);Kraków;Kraków;ma³opolskie;30-504;
+;Kraków (Kraków-Podgórze);Tuchowska;102-DK;Kraków;Kraków;ma³opolskie;;30-698
+;Kraków (Kraków-Podgórze);Tuchowska;1-101;Kraków;Kraków;ma³opolskie;;30-618
-;Kraków (Kraków-Podgórze);Tuchowska;1-49;Kraków;Kraków;ma³opolskie;30-618;
-;Kraków (Kraków-Podgórze);Tuchowska;50-DK;Kraków;Kraków;ma³opolskie;30-698;
-;Kraków (Kraków-Podgórze);Turniejowa;1-55, 2-22(p);Kraków;Kraków;ma³opolskie;30-656;
+;Kraków (Kraków-Podgórze);Turniejowa;1-55(n), 2-22(p);Kraków;Kraków;ma³opolskie;;30-656
+;Kraków (Kraków-Podgórze);Turniejowa;24-72(p), 57-71(n), 73-DK;Kraków;Kraków;ma³opolskie;;30-619
-;Kraków (Kraków-Podgórze);Turniejowa;57-DK;Kraków;Kraków;ma³opolskie;30-619;
-;Kraków (Kraków-Podgórze);Turniejowa;59a-59b;Kraków;Kraków;ma³opolskie;30-519;
#;Kraków (Kraków-Podgórze);Tyniecka;10;Kraków;Kraków;ma³opolskie;30-323;30-319
#;Kraków (Kraków-Podgórze);Tyniecka;10;Kraków;Kraków;ma³opolskie;30-319;30-323
-;Kraków (Kraków-Podgórze);Wielicka;1-119(n), 2-112(p);Kraków;Kraków;ma³opolskie;30-552;
+;Kraków (Kraków-Podgórze);Wielicka;114-248(p), 121-249(n), 250-DK;Kraków;Kraków;ma³opolskie;;30-663
-;Kraków (Kraków-Podgórze);Wielicka;122-130(p);Kraków;Kraków;ma³opolskie;30-363;
-;Kraków (Kraków-Podgórze);Wielicka;132-DK(p), 209-DK(n);Kraków;Kraków;ma³opolskie;30-663;
+;Kraków (Kraków-Podgórze);Wielicka;1-83a, 84-112(p), 85-119(n);Kraków;Kraków;ma³opolskie;;30-552
+;Kraków (Kraków-Podgórze);Zab³ocie;1-50;Kraków;Kraków;ma³opolskie;;30-701
+;Kraków (Kraków-Podgórze);Zab³ocie;51-DK;Kraków;Kraków;ma³opolskie;;30-706
-;Kraków (Kraków-Podgórze);Zab³ocie;;Kraków;Kraków;ma³opolskie;30-701;
+;Kraków (Kraków-Podgórze);Zakopiañska;1-147(n), 2-70(p);Kraków;Kraków;ma³opolskie;;30-418
-;Kraków (Kraków-Podgórze);Zakopiañska;33-147(n), 46-58b(p), 62-70a(p);Kraków;Kraków;ma³opolskie;30-418;
-;Kraków (Kraków-Podgórze);Zakopiañska;60-62b(p), 72-264(p), 149-DK(n), 265-277;Kraków;Kraków;ma³opolskie;30-435;
+;Kraków (Kraków-Podgórze);Zakopiañska;72-DK(p), 149-DK(n);Kraków;Kraków;ma³opolskie;;30-435
-;Kraków (Kraków-Œródmieœcie);Aleja Ignacego Daszyñskiego;1-23(n);Kraków;Kraków;ma³opolskie;31-537;
+;Kraków (Kraków-Œródmieœcie);Aleja Ignacego Daszyñskiego;1-5(n);Kraków;Kraków;ma³opolskie;;31-537
-;Kraków (Kraków-Œródmieœcie);Aleja Ignacego Daszyñskiego;2-32(p), 25-31(n), 33-DK;Kraków;Kraków;ma³opolskie;31-534;
+;Kraków (Kraków-Œródmieœcie);Aleja Ignacego Daszyñskiego;2-DK, 7-DK(n);Kraków;Kraków;ma³opolskie;;31-534
+;Kraków (Kraków-Œródmieœcie);Bo¿ego Cia³a;1-4;Kraków;Kraków;ma³opolskie;;31-055
+;Kraków (Kraków-Œródmieœcie);Bo¿ego Cia³a;5-DK;Kraków;Kraków;ma³opolskie;;31-059
-;Kraków (Kraków-Œródmieœcie);Bo¿ego Cia³a;;Kraków;Kraków;ma³opolskie;31-059;
+;Kraków (Kraków-Œródmieœcie);Dajwór;1-25(n), 2-DK(p);Kraków;Kraków;ma³opolskie;;31-052
+;Kraków (Kraków-Œródmieœcie);Dajwór;27-DK(n);Kraków;Kraków;ma³opolskie;;31-060
-;Kraków (Kraków-Œródmieœcie);Dajwór;;Kraków;Kraków;ma³opolskie;31-052;
+;Kraków (Kraków-Œródmieœcie);Grzegórzecka;1-5(n);Kraków;Kraków;ma³opolskie;;31-537
+;Kraków (Kraków-Œródmieœcie);Grzegórzecka;16-48(p);Kraków;Kraków;ma³opolskie;;31-531
-;Kraków (Kraków-Œródmieœcie);Grzegórzecka;1-65(n);Kraków;Kraków;ma³opolskie;31-532;
-;Kraków (Kraków-Œródmieœcie);Grzegórzecka;16-70(p);Kraków;Kraków;ma³opolskie;31-531;
+;Kraków (Kraków-Œródmieœcie);Grzegórzecka;50-DK(p), 67-DK(n);Kraków;Kraków;ma³opolskie;;31-559
-;Kraków (Kraków-Œródmieœcie);Grzegórzecka;67-105(n), 72-104(p);Kraków;Kraków;ma³opolskie;31-559;
+;Kraków (Kraków-Œródmieœcie);Grzegórzecka;7-65(n);Kraków;Kraków;ma³opolskie;;31-532
+;Kraków (Kraków-Œródmieœcie);ks. Franciszka Blachnickiego;1-DK(n);Kraków;Kraków;ma³opolskie;;31-535
+;Kraków (Kraków-Œródmieœcie);ks. Franciszka Blachnickiego;2-DK(p);Kraków;Kraków;ma³opolskie;;31-538
-;Kraków (Kraków-Œródmieœcie);ks. Franciszka Blachnickiego;;Kraków;Kraków;ma³opolskie;31-538;
+;Kraków (Kraków-Œródmieœcie);Masarska;10-DK(p);Kraków;Kraków;ma³opolskie;;31-539
+;Kraków (Kraków-Œródmieœcie);Masarska;1-9, 11-DK(n);Kraków;Kraków;ma³opolskie;;31-534
-;Kraków (Kraków-Œródmieœcie);Masarska;;Kraków;Kraków;ma³opolskie;31-534;
+;Kraków (Kraków-Œródmieœcie);Micha³a Siedleckiego;1-5, 7;Kraków;Kraków;ma³opolskie;;31-538
+;Kraków (Kraków-Œródmieœcie);Micha³a Siedleckiego;6-8(p), 9-DK;Kraków;Kraków;ma³opolskie;;31-536
-;Kraków (Kraków-Œródmieœcie);Micha³a Siedleckiego;;Kraków;Kraków;ma³opolskie;31-538;
-;Kraków (Kraków-Œródmieœcie);Miodowa;32-40(p), 33-DK(n);Kraków;Kraków;ma³opolskie;31-052;
+;Kraków (Kraków-Œródmieœcie);Miodowa;32-42(p), 33-47(n);Kraków;Kraków;ma³opolskie;;31-052
-;Kraków (Kraków-Œródmieœcie);Miodowa;42-DK(p);Kraków;Kraków;ma³opolskie;31-036;
+;Kraków (Kraków-Œródmieœcie);Miodowa;44-54(p), 49-55(n), 56-DK;Kraków;Kraków;ma³opolskie;;31-036
-;Kraków (Kraków-Œródmieœcie);Podgórska;1-25a;Kraków;Kraków;ma³opolskie;31-035;
+;Kraków (Kraków-Œródmieœcie);Podgórska;1-25(n);Kraków;Kraków;ma³opolskie;;31-035
+;Kraków (Kraków-Œródmieœcie);Podgórska;2-24(p);Kraków;Kraków;ma³opolskie;;31-061
+;Kraków (Kraków-Œródmieœcie);œw. Wawrzyñca;1-34;Kraków;Kraków;ma³opolskie;;31-060
+;Kraków (Kraków-Œródmieœcie);œw. Wawrzyñca;35-DK;Kraków;Kraków;ma³opolskie;;31-052
-;Kraków (Kraków-Œródmieœcie);œw. Wawrzyñca;;Kraków;Kraków;ma³opolskie;31-060;
+;Krasny Las;;;Grabówka;bia³ostocki;podlaskie;;16-030
+;Krupniki;B³awatkowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Chabrowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Diamentowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Dworska;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Fio³kowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Irysowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Kasztanowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Klonowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Krokusowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Kruszewska;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;ks. Grzybowskiego;;Choroszcz;bia³ostocki;podlaskie;;15-635
+;Krupniki;Kwiatowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Lipowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Makowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Per³owa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Poziomkowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Ró¿ana;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Rubinowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Szafirowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Szmaragdowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Œwierkowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Topazowa;;Choroszcz;bia³ostocki;podlaskie;;16-070
+;Krupniki;Wêgierska;;Choroszcz;bia³ostocki;podlaskie;;16-070
-;Krupniki;;;Choroszcz;bia³ostocki;podlaskie;16-070;
-;Lêbork;1 Maja;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;3 Maja;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;8 Maja;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Abrahama;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Akacjowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Aleja Niepodleg³oœci;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Aleja Wolnoœci;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Aleksandra Majkowskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Architektów;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Armii Krajowej;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Artylerzystów;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Bartosza G³owackiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Basztowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Batalionów Ch³opskich;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Batalionu Zoœka;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Beniowskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;B³êkitna;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Bohaterów Monte Cassino;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Bohaterów Westerplatte;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Boles³awa Krzywoustego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Boles³awa Prusa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Brzozowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Ceynowy;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Ch³opska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Chojnicka;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Chopina;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Cisowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Curie-Sk³odowskiej;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Czo³gistów;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;D¹browskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Derdowskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Dêbowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Drêtowo;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Drzyma³y;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Dworcowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Dygasiñskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Dywizjonu 303;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Edwarda Bieszki;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Emilii Plater;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;F. Stamma;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Franciszkañska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Gdañska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;gen. Stanis³awa Sosabowskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Genera³a Bema;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Genera³a Sikorskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Genera³a Stanis³awa Maczka;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Gierymskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Gliniana;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Górników;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Grudzi¹dzka;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Grunwaldzka;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Gryfa Pomorskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;H. Konopackiej;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;H. Marusarzówny;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Handlowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Harcerzy;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Henryka Arctowskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Henryka £asaka;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Hutnicza;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Ignacego Domeyki;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;In¿ynierów;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;J. Kusociñskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Jagielloñska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Jana Styki;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Janusza Korczaka;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Jerzego Kukuczki;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Jesionowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Jod³owa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Józefa Wybickiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Juliana Wêgrzynowicza;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Kana³owa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Kardyna³a Stefana Wyszyñskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Kartuska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Kasztanowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Kaszubska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Kazimierza Wielkiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Kellera;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Kiliñskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Klonowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Kolejarzy;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Kolonia;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Komuny Paryskiej;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Kossaka;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Koœciuszki;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;ks. Szczepana Gracza;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Kujawska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Kwiatowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;L. Teligi;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Legionów Polskich;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Lipowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Lotników;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Lubelska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Ludwika Waryñskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;£¹czna;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;£owicka;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Majora Henryka Sucharskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Malczewskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Ma³opolska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Ma³oszycka;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Marcinkowskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Marii Konopnickiej;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Matejki;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Mazurska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Micha³a Mostnika;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Mieczys³awa Stryjewskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Mieszka I;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Miko³aja Reja;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Mireckiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;M³ynarska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Modrzewiowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Moniuszki;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Mœciwoja II;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Myœliwska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Nadmorska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Obroñców Wybrze¿a;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Ogrodowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Okrzei;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Olimpijczyków;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Orl¹t Lwowskich;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Orliñskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Orzeszkowej;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Osiedle Leœne;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Piecewo;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Pionierów;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Piotra Skargi;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Piotra Wysockiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Plac Kopernika;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Plac M³odzie¿y;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Plac Piastowski;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Plac Pokoju;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Plac Spó³dzielczy;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Podhalañska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Polna;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Polskich Marynarzy;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Pomorska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Powstania Styczniowego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Powstañców Warszawy;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Poznañska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Przymurna;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Przyzamcze;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Pu³askiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Pu³kownika Stanis³awa D¹bka;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Robotnicza;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Rod³a;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Roszarnicza;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Ró¿yckiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;rtm. Witolda Pileckiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Rzemieœlnicza;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Sandomierska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Saperów;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Sienkiewicza;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Skar¿yñskiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Skoczylasa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;S³oneczna;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;S³owackiego;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;S³upska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Spokojna;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Sportowa;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Spó³dzielcza;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Staromiejska;;Lêbork;lêborski;pomorskie;84-300;
-;Lêbork;Staszica;;Lêbork;lêborski;pomorskie;84-300;
